,hotel_id,direction,description,attributes,latitude,longitude,scores
10,243,"826 North Bunker Hill Avenue, Centro de Los Ángeles, Los Ángeles, CA 90012, Estados Unidos","El Gorgeous DTLA w/ View + Hot Tub! está situado en el centro de Los Ángeles, a 1,5 km de la estación LA Union y a 3,7 km del teatro Microsoft. Ofrece jardín y aire acondicionado. Ofrece acceso a un balcón y aparcamiento privado gratuito.

Esta casa de 1 dormitorio cuenta con conexión WiFi gratuita, TV de pantalla plana, lavadora y cocina con lavavajillas y horno. Se proporcionan toallas y ropa de cama.

La casa está a 3,7 km del Staples Center y a 4,4 km del estadio Dodger. El aeropuerto más cercano es el de Hollywood Burbank, ubicado a 21 km del Gorgeous DTLA w/ View + Hot Tub!.","['Aire acondicionado', 'Parking gratis', 'Jardín', 'Barbacoa', 'Habitaciones sin humo', 'Habitaciones familiares', 'WiFi gratis']",34.064023,-118.2431404,[]
11,351,"Mission Beach, San Diego, 92109, Estados Unidos","El Sunset Haven tiene balcón y se encuentra en San Diego, a solo 300 metros de Mission Beach y a 500 metros de Pacific Beach. El alojamiento está a 90 metros de la playa de Sail Bay y cuenta con conexión Wi-Fi gratuita en todo el establecimiento.

La casa cuenta con aire acondicionado, 2 dormitorios, sala de estar, cocina totalmente equipada con lavavajillas y cafetera y 3 baños con bañera o ducha y secador de pelo. Se proporcionan toallas y ropa de cama.

La casa cuenta con parque infantil. En las inmediaciones se puede practicar ciclismo.

El Sunset Haven se encuentra a 5,7 km del SeaWorld San Diego y a 8,4 km del parque histórico estatal Old Town San Diego. El aeropuerto internacional de San Diego es el más cercano y queda a 9 km.","['Secadora de ropa', 'Habitaciones sin humo', 'Fogones', 'Horno', 'Parking en el alojamiento', 'WiFi gratis', 'Cafetera']",32.785725,-117.252857,[]
12,355,"302 Bonair St, La Jolla, San Diego, 92037, Estados Unidos","Boasting sea views, Windansea Beach Luxury - Spa, AC, Walk2Beach, Garage & fast WiFi provides accommodation with a garden and a terrace, around 200 metres from Windansea Beach. Guests staying at this holiday home have access to a balcony. The property offers a 24-hour front desk and free WiFi is available throughout the property.

This air-conditioned holiday home is fitted with 3 bedrooms, a cable TV, a dining area, a fully equipped kitchen with a dishwasher, and a living room. The accommodation offers a fireplace.

La Jolla Strand Beach is 200 metres from the holiday home, while Marine Street Beach is 400 metres from the property. The nearest airport is San Diego International Airport, 14 km from Windansea Beach Luxury - Spa, AC, Walk2Beach, Garage & fast WiFi.","['Tostadora', 'Parking gratis', 'Recepción 24 horas', 'Habitaciones sin humo', 'WiFi gratis', 'Parking en la calle']",32.8305327,-117.2792101,[]
13,360,"Pacific Beach, San Diego, 92109, Estados Unidos","El Opal Oasis se encuentra en San Diego, a 500 metros de la playa Tourmaline Surfing Park y a 600 metros de la playa Pacific, y ofrece alojamiento con aire acondicionado, patio y WiFi gratuita. Esta casa se encuentra a 11 km del parque histórico estatal del centro histórico de San Diego y de Sunset Cliffs.

La casa cuenta con balcón, vistas al mar, 4 dormitorios, sala de estar, TV, cocina equipada con lavavajillas y horno y 5 baños con bañera de hidromasaje. Se proporcionan toallas y ropa de cama.

La casa cuenta con parque infantil. En las inmediaciones se puede practicar ciclismo.

El Opal Oasis se encuentra a 1,2 km de la playa de Calumet Park y a 7,4 km del SeaWorld San Diego. El aeropuerto internacional de San Diego es el más cercano y queda a 11 km.","['Gimnasio', 'Habitaciones sin humo', 'Fogones', 'Cafetera', 'WiFi gratis', 'Parking en el alojamiento']",32.805956,-117.257427,[]
14,421,"5061 Savannah Street, San Diego, CA 92110, Estados Unidos","El Family home close to all, brand new, with rooftop terrace ofrece vistas a la ciudad y alojamiento con patio y cafetera a unos 1,8 km de la Universidad de San Diego. El establecimiento cuenta con balcón, aparcamiento privado gratuito y WiFi gratuita.

La casa tiene terraza, vistas a la montaña, 3 dormitorios, sala de estar, TV de pantalla plana, cocina equipada con lavavajillas y horno y 3 baños con ducha a ras de suelo. Se proporcionan toallas y ropa de cama.

La casa se encuentra a 2 km del parque histórico estatal Old Town San Diego y a 3,6 km del SeaWorld San Diego. El aeropuerto más cercano es el aeropuerto internacional de San Diego, ubicado a 4 km del Family home close to all, brand new, with rooftop terrace.","['Parking gratis', 'Habitaciones sin humo', 'Terraza', 'Habitaciones familiares', 'WiFi gratis']",32.77002584,-117.19979497,"[{'Personal': '10'}, {'Instalaciones y servicios': '10'}, {'Limpieza': '10'}, {'Confort': '10'}, {'Relación calidad-precio': '9.4'}, {'Ubicación': '8.8'}, {'WiFi gratis': '10'}]"
15,430,"Mission Beach, San Diego, 92109, Estados Unidos","Salt Life is situated in the Mission Beach district of San Diego, 200 metres from Sail Bay Beach, 600 metres from Pacific Beach and 5.1 km from SeaWorld San Diego. This beachfront property offers access to free WiFi and free private parking. The property is non-smoking and is set a few steps from Mission Beach.

The holiday home is fitted with 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchen, and a balcony with sea views. For added privacy, the accommodation features a private entrance.

Old Town San Diego State Historic Park is 7.9 km from the holiday home, while Sunset Cliffs is 7.9 km from the property. The nearest airport is San Diego International Airport, 8 km from Salt Life.","['Gimnasio', 'Parking gratis', 'Recepción 24 horas', 'Servicio de lavandería', 'WiFi gratis', 'Situado frente a la playa']",32.7834989,-117.2535397,[]
16,468,"2183 Sunset Plaza Drive, Hollywood, Los Ángeles, CA 90069, Estados Unidos","Set in Los Angeles, 7.4 km from Dolby Theater and 8.1 km from Petersen Automotive Museum, Hollywood Hills Modern Sanctuary–Jaw Dropping View offers a garden and air conditioning. This property offers access to a balcony, free private parking and free WiFi. Los Angeles County Museum Of Art / LACMA is 8.2 km away and Capitol Records Building is 8.4 km from the villa.

The spacious villa is fitted with 6 bedrooms, a flat-screen TV with cable channels and a fully equipped kitchen that provides guests with a dishwasher, an oven, a washing machine, a microwave and a fridge. Towels and bed linen are offered in the villa. For added privacy, the accommodation features a private entrance.

Hollywood Bowl is 8.7 km from the villa, while Universal Studios Hollywood is 8.8 km from the property. The nearest airport is Hollywood Burbank Airport, 13 km from Hollywood Hills Modern Sanctuary–Jaw Dropping View.","['Aire acondicionado', 'Parking gratis', 'Jardín', 'Fogones', 'Horno', 'WiFi gratis']",34.1057021,-118.3857819,[]
17,472,"2743 Veteran Avenue, Los Ángeles, CA 90064, Estados Unidos",La Casa Palmas se encuentra en Los Ángeles.,"['Aire acondicionado', 'Parking gratis', 'Jardín', 'Terraza', 'WiFi gratis']",34.0325771,-118.4264195,
18,477,"774 North Eastman Avenue, Los Ángeles, CA 90063, Estados Unidos","El New Luxury Home with DTLA Views - Ideal for Groups se encuentra en Los Ángeles, a 5,8 km de la estación LA Union y a 9,2 km del estadio Dodger, y ofrece jardín y aire acondicionado. El establecimiento cuenta con balcón, aparcamiento privado gratuito y WiFi gratuita.

La villa tiene 5 dormitorios, TV de pantalla plana y cocina totalmente equipada con lavavajillas, horno, lavadora, microondas y nevera. La villa proporciona toallas y ropa de cama.

La villa cuenta con terraza.

El New Luxury Home with DTLA Views - Ideal for Groups se encuentra a 10 km del teatro Microsoft y del Staples Center. El aeropuerto más cercano es el de Hollywood Burbank, ubicado a 25 km.","['Aire acondicionado', 'Parking gratis', 'Jardín', 'Habitaciones sin humo', 'Terraza', 'Habitaciones familiares', 'WiFi gratis']",34.0451317,-118.185633,
19,592,"2130 Beech Knoll Rd , Hollywood, Los Ángeles, 90046, Estados Unidos","El Beech Knoll se encuentra en el distrito Hollywood de Los Ángeles, a 6,8 km del edificio Capitol Records, a 7,1 km del Hollywood Bowl y a 7,3 km del Universal Studios Hollywood. El alojamiento está a 5,8 km del teatro Dolby y cuenta con aire acondicionado, WiFi gratuita y aparcamiento privado.

La casa está equipada con TV. La casa también dispone de cocina bien equipada con nevera, lavavajillas, microondas y artículos de aseo gratuitos.

La casa está a 7,8 km del Museo del Automóvil Petersen y del Museo de Arte del Condado de Los Ángeles (LACMA). El aeropuerto más cercano es el de Hollywood Burbank, ubicado a 12 km del Beech Knoll.","['Secadora de ropa', 'Parking gratis', 'Cocina', 'Barbacoa', 'Lavavajillas', 'WiFi gratis', 'Lavadora']",34.108734,-118.375162,[]
