hotel_id,direction,description,attributes,latitude,longitude,scores
31365,"509, Rue Jacquard RN6, 71000 Mâcon, Francia","The ibis Budget Mâcon Sud is 8 minutes from the city centre by car and less than 5 minutes from the A6 and A406 motorways. The hotel offers free WiFi and a 24/7 reception.

All our rooms are equipped with a flat-screen TV, a desk and a private bathroom with a shower. A buffet breakfast is served each morning. Dining options are available nearby.

The hotel has free and secure parking.",,46.28160169,4.80538666,
31371,"309 Rue de Fontenailles, 71000 Mâcon, Francia",,"['Parking gratis', 'Habitaciones sin humo', 'Productos de limpieza', 'Mesa de comedor', 'WiFi gratis', 'Cafetera', 'Tostadora']",46.28813821,4.80600754,
31450,"215 Piedmont Avenue Northeast, Atlanta, GA 30308, Estados Unidos",,"['Parking gratis', 'Recepción 24 horas', 'Habitaciones sin humo', 'Piscina al aire libre', 'WiFi gratis', 'Habitaciones familiares']",33.7601493,-84.3816048,
31551,"3 Iosif Damaskinou, Atenas, 11471, Grecia",,"['Ascensor', 'Parking gratis', 'Servicio de limpieza diario', 'Calefacción', 'Habitaciones sin humo', 'WiFi gratis', 'Traslado aeropuerto', 'Aire acondicionado', 'Habitaciones familiares']",37.9864113,23.7443789,
31577,"14 Iera Odos, Atenas, 10435, Grecia","El Virgo - Loft with Spectacular View to Acropolis se encuentra en el centro de Atenas, a poca distancia de la estación de metro Kerameikos y de Gazi - Technopoli, y ofrece WiFi gratuita, aire acondicionado, tostadora y cafetera. Este alojamiento tiene balcón y vistas a la ciudad.

El apartamento tiene terraza, vistas a la montaña, 2 dormitorios, sala de estar, TV de pantalla plana, cocina equipada con horno y microondas y baño con ducha. Se proporcionan toallas y ropa de cama.

Cerca del apartamento hay varios lugares de interés, como la estación de metro de Monastiraki, la estación de tren de Monastiraki y la plaza de Monastiraki. El aeropuerto Eleftherios Venizelos es el más cercano y está a 33 km del Virgo - Loft with Spectacular View to Acropolis.",,37.979458,23.715904,"[{'Personal': '8.7'}, {'Instalaciones y servicios': '7.6'}, {'Limpieza': '7.6'}, {'Confort': '7.7'}, {'Relación calidad-precio': '8.2'}, {'Ubicación': '8.5'}, {'WiFi gratis': '9.2'}]"
31583,"Viktoros Ougko, Athens, Greece 31, Atenas, 10437, Grecia","El HOTEL_TIER goza de una ubicación privilegiada en el centro de Atenas y ofrece habitaciones con aire acondicionado, restaurante, WiFi gratuita y bar. Este establecimiento se encuentra a poca distancia de lugares de interés como la estación de metro Omonia, el Museo Arqueológico Nacional de Atenas y la plaza Monastiraki. Hay servicio de habitaciones y recepción 24 horas.

Todas las habitaciones están equipadas con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las habitaciones están equipadas con hervidor de agua, mientras que algunas tienen terraza y otras ofrecen vistas a la ciudad. Todos los alojamientos incluyen nevera.

El HOTEL_TIER está cerca del teatro nacional de Grecia, la plaza Omonia y la estación de tren de Larissis. El aeropuerto Eleftherios Venizelos, el más cercano, está a 30 km. Se proporciona servicio de enlace con el aeropuerto por un suplemento.",,37.986379,23.722664,
31605,"19 Aristofanous, Atenas, 10554, Grecia","El athensdot goza de una ubicación ideal en Atenas y ofrece habitaciones con aire acondicionado, bicicletas gratuitas, conexión WiFi gratuita y terraza. El establecimiento se encuentra a unos 700 metros de la plaza Omonia, a 700 metros de la estación de metro Omonia y a 600 metros del teatro nacional de Grecia. Hay aparcamiento privado disponible por un suplemento.

Todas las habitaciones incluyen escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones están equipadas con caja fuerte. Algunas tienen balcón y otras ofrecen vistas a la ciudad. Todas las habitaciones incluyen nevera.

La zona es ideal para practicar ciclismo. El athensdot ofrece servicio de alquiler de coches.

En las inmediaciones hay varios lugares de interés, como la estación de metro de Monastiraki, la estación de tren de Monastiraki y la plaza de Monastiraki. El aeropuerto Eleftherios Venizelos es el más cercano y está a 33 km del athensdot. Se proporciona servicio de enlace con el aeropuerto por un suplemento.","['Ascensor', 'Servicio de lavandería', 'Calefacción', 'Habitaciones sin humo', 'WiFi gratis', 'Traslado aeropuerto', 'Aire acondicionado', 'Terraza', 'Habitaciones familiares', 'Parking privado']",37.97982,23.72433,"[{'Habitación Doble Económica Interior': '1 cama doble grande'}, {'Habitación Doble Económica Plus con interior': '1 sofá camay1 cama doble grande'}, {'Alojamiento Doble Estándar': '1 cama doble grande'}, {'Doble Estándar con balcón': '1 cama doble grande'}, {'Habitación Doble Estándar Plus': '1 sofá camay1 cama doble grande'}, {'Doble Superior': '1 sofá camay1 cama doble grande'}, {'Habitación Doble Superior con balcón': '1 sofá camay1 cama doble grande'}, {'Loft - Planta baja': '1 sofá camay1 cama doble grande'}, {'Suite con vistas a la Acrópolis': '1 sofá camay1 cama doble grande'}, {'Loft con atrio': '1 cama dobley1 sofá cama'}, {'Personal': '7.7'}, {'Instalaciones y servicios': '7.7'}, {'Limpieza': '8.3'}, {'Confort': '8.1'}, {'Relación calidad-precio': '8.3'}, {'Ubicación': '8.9'}, {'WiFi gratis': '8.3'}]"
31609,"Apollonos 1 10557, Atenas, 105 57, Grecia","El Apollonos Studio Amalia se encuentra en el centro de Atenas, a poca distancia de la zona comercial de la calle Ermou y del jardín nacional, y ofrece WiFi gratuita, aire acondicionado, nevera y cafetera. Este apartamento tiene cocina totalmente equipada.

El apartamento está equipado con TV. Se proporcionan toallas y ropa de cama.

Cerca del apartamento hay varios lugares de interés, como la estación de metro Syntagma, la plaza Syntagma y el Ágora Romana. El aeropuerto Eleftherios Venizelos es el más cercano y está a 32 km del Apollonos Studio Amalia.",,37.97465651,23.73298177,"[{'Estudio': '1 cama doble grande'}, {'Personal': '8.8'}, {'Instalaciones y servicios': '7.8'}, {'Limpieza': '7.8'}, {'Confort': '7.4'}, {'Relación calidad-precio': '8.4'}, {'Ubicación': '9.5'}, {'WiFi gratis': '10'}, {'Puntuación alta para Atenas': 'Puntuación baja para Atenas'}]"
31625,"2855 Spring Hill Parkway, Atlanta, GA 30080, Estados Unidos",,"['Parking gratis', 'Adaptado personas de movilidad reducida', 'Recepción 24 horas', 'Servicio de limpieza diario', 'Desayuno', 'Habitaciones sin humo', 'Piscina al aire libre', 'WiFi gratis', 'Gimnasio']",33.88302411,-84.47435975,
31627,"3342 Peachtree Road Northeast, Atlanta, GA 30326, Estados Unidos","Este hotel confortable está ubicado dentro del complejo Tower Place, en la moderna zona de Buckhead, en Atlanta, y ofrece servicios e instalaciones excelentes a poca distancia a pie de numerosas oficinas, restaurantes, tiendas y teatros.

El Hilton Garden Inn Atlanta-Buckhead se halla a solo unos minutos del centro de Atlanta. Los centros comerciales Lenox Square y Phipps Plaza están a poca distancia a pie.

El Hilton Garden Inn Atlanta-Buckhead se encuentra junto a un club de bienestar y fitness de última generación con una amplitud de 929 m².

La estación de tren MARTA Buckhead queda a menos de 500 metros. El centro de Atlanta, que alberga el centro de congresos Georgia World y el estadio Mercedes-Benz, está a unos 23 minutos en coche.",,33.84714985,-84.36983272,
