,hotel_id,direction,description,attributes,latitude,longitude,scores
10,243,"826 North Bunker Hill Avenue, Centro de Los Ángeles, Los Ángeles, CA 90012, Estados Unidos","Gorgeous DTLA w/ View + Hot Tub! ofrece alojamiento bien situado en el centro de Los Ángeles y dispone de jardín. Este alojamiento con aire acondicionado está a 17 min a pie de Estación de tren Union y ofrece wifi gratis y parking privado en el propio alojamiento.

La casa o chalet tiene balcón, 1 dormitorio, sala de estar y cocina bien equipada con nevera y lavavajillas. Hay toallas y ropa de cama en la casa o chalet.

Teatro Microsoft está a 3,7 km del alojamiento, y Staples Center está a 3,7 km. El aeropuerto (Aeropuerto de Hollywood Burbank) está a 21 km.","['Ord and Yale Street Park\n350 m', 'Habitaciones familiares', 'Parking gratis', 'Jardín', 'Aire acondicionado', 'Fort Moore Pioneer Memorial\n600 m', 'Barbacoa', 'Alpine Recreation Center\n250 m', 'Habitaciones sin humo', 'WiFi gratis']",34.064023,-118.2431404,[]
11,351,"Mission Beach, San Diego, 92109, Estados Unidos","Sunset Haven se encuentra en el barrio de Mission Beach, en San Diego, a pocos pasos de Sail Bay Beach y a 3 min a pie de Mission Beach, y ofrece alojamiento equipado con balcón y wifi gratis. Esta casa o chalet está a 6 min a pie de Pacific Beach y a 5,7 km de SeaWorld de San Diego.

Esta casa o chalet con aire acondicionado consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 3 baños con bañera o ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en la casa o chalet.

Hay zona de juegos infantil en el propio alojamiento, y cerca se puede practicar ciclismo.

Parque estatal del Centro Histórico de San Diego está a 8,4 km del alojamiento, y Sunset Cliffs está a 8,5 km. El aeropuerto más cercano (Aeropuerto internacional de San Diego) está a 9 km del alojamiento.","['Parking en el alojamiento', 'Mission Bay Park\n1,5 km', 'Surfrider Square\n1,5 km', 'The Mission - Mission Beach\n100 m', 'Fanuel Street Park\n1 km', 'Santa Clara Cove\n450 m', 'Sail Bay\n1 km', 'South Shores Bike Path\n1,4 km', 'Habitaciones sin humo', 'WiFi gratis']",32.785725,-117.252857,[]
12,355,"302 Bonair St, La Jolla, San Diego, 92037, Estados Unidos","Windansea Beach Luxury - Spa, AC, Walk2Beach, Garage & fast WiFi está en San Diego, a 2 min a pie de Windansea Beach, y dispone de alojamiento con jardín, wifi gratis y recepción 24 horas. Este alojamiento con vistas al mar ofrece terraza.

Esta casa o chalet tiene aire acondicionado y cuenta con 3 dormitorios, TV por cable, zona de comedor, cocina con nevera y sala de estar.

La Jolla Strand Beach está a 2 min a pie del alojamiento, y Marine Street Beach está a 400 metros. El aeropuerto más cercano (Aeropuerto internacional de San Diego) está a 14 km.","['La Jolla Recreation Center\n1,4 km', 'Starkey Mini Park\n550 m', 'Parking gratis', 'Windansea Park\n850 m', 'La Jolla P&RC\n1,3 km', 'Cuvier Park\n1,3 km', 'Habitaciones sin humo', 'WiFi gratis', 'Recepción 24 horas', 'Via D Norte Mini Park\n1.000 m']",32.8305327,-117.2792101,[]
13,360,"Pacific Beach, San Diego, 92109, Estados Unidos","Opal Oasis se encuentra en San Diego, en la región de California, y dispone de balcón y vistas al mar. Esta casa o chalet ofrece alojamiento con patio y wifi gratis.

Esta casa o chalet con aire acondicionado consta de 4 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 5 baños con bañera o ducha y bañera de hidromasaje. Hay toallas y ropa de cama en la casa o chalet.

Hay zona de juegos infantil en el propio alojamiento, y se puede practicar ciclismo cerca.

Cerca del alojamiento hay puntos de interés como Tourmaline Surfing Park Beach, Pacific Beach y Calumet Park Beach. El aeropuerto más cercano (Aeropuerto internacional de San Diego) está a 11 km del alojamiento.","['Parking en el alojamiento', 'La Jolla Hermosa Park\n1,9 km', 'Palisades Park\n400 m', 'South Shores Bike Path\n2 km', 'Pacific Beach Training\n1,8 km', 'Kate Sessions Memorial Park\n1,7 km', 'Habitaciones sin humo', 'WiFi gratis', 'Gimnasio', 'Calumet Park\n1,2 km']",32.805956,-117.257427,[]
14,421,"5061 Savannah Street, San Diego, CA 92110, Estados Unidos","Family home close to all, brand new, with rooftop terrace, que tiene vistas a la ciudad, ofrece alojamiento con balcón y hervidor a unos 2 km de Parque estatal del Centro Histórico de San Diego. El alojamiento, que está a 1,8 km de Universidad de San Diego, dispone de terraza y parking privado gratis.

Esta casa o chalet con aire acondicionado consta de 3 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 3 baños con bidet y ducha. Hay toallas y ropa de cama en la casa o chalet.

SeaWorld de San Diego está a 3,6 km del alojamiento, y Museo Marítimo de San Diego está a 7,1 km. El aeropuerto (Aeropuerto internacional de San Diego) está a 4 km.","['Habitaciones familiares', '¿Hay spa?', '¿Hay piscina?', 'Parking gratis', 'Terraza', '¿Cómo y cuándo pago?', '¿Se sirven desayunos?', '¿Puedo aparcar aquí?', 'Habitaciones sin humo', 'WiFi gratis']",32.77002584,-117.19979497,"[{'Personal': '10'}, {'Instalaciones y servicios': '10'}, {'Limpieza': '10'}, {'Confort': '10'}, {'Relación calidad-precio': '9.4'}, {'Ubicación': '8.8'}, {'WiFi gratis': '10'}]"
15,430,"Mission Beach, San Diego, 92109, Estados Unidos","Salt Life es un alojamiento frente a la playa que está en San Diego, a pocos pasos de Mission Beach y a 2 min a pie de Sail Bay Beach. Esta casa o chalet dispone de parking privado gratis, recepción 24 horas y wifi gratis.

La casa o chalet cuenta con balcón y vistas al mar, y tiene 2 dormitorios, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y lavavajillas, y 1 baño con ducha. Hay toallas y ropa de cama en la casa o chalet.

Pacific Beach está a 7 min a pie del alojamiento, y SeaWorld de San Diego está a 5,1 km. El aeropuerto más cercano (Aeropuerto internacional de San Diego) está a 8 km.","['Parking gratis', 'Situado frente a la playa', 'Servicio de lavandería', 'WiFi gratis', 'Gimnasio', 'Recepción 24 horas']",32.7834989,-117.2535397,[]
16,468,"2183 Sunset Plaza Drive, Hollywood, Los Ángeles, CA 90069, Estados Unidos","Hollywood Hills Modern Sanctuary–Jaw Dropping View se encuentra en el barrio de Hollywood, en Los Ángeles, a 8,1 km de Museo del Automóvil Petersen y a 8,2 km de Museo de Arte del Condado de Los Ángeles (LACMA), y ofrece alojamiento equipado con balcón y wifi gratis. El alojamiento, que está a 7,4 km de Auditorio Dolby Theatre, dispone de jardín y parking privado gratis.

Esta villa tiene aire acondicionado y cuenta con 6 dormitorios, TV de pantalla plana por cable y cocina con nevera y lavavajillas. Hay toallas y ropa de cama en la villa.

Edificio Capitol Records está a 8,4 km del alojamiento, y Hollywood Bowl está a 8,7 km. El aeropuerto más cercano (Aeropuerto de Hollywood Burbank) está a 13 km.","['William S Hart Park & Off-Leash Dog Park\n1,8 km', 'Parking gratis', 'Laurel Canyon Park\n1,9 km', 'Greystone Mansion\n2 km', 'Aire acondicionado', 'Mulholland Scenic Overlook\n2 km', 'Nancy Hoover Pohl Overlook\n1,8 km', 'Jardín', 'WiFi gratis']",34.1057021,-118.3857819,[]
17,472,"2743 Veteran Avenue, Los Ángeles, CA 90064, Estados Unidos","La Casa Palmas es un alojamiento con jardín que se encuentra en Los Ángeles, a 10 km de Paseo marítimo de Venice Beach, a 10 km de Museo de Arte del Condado de Los Ángeles (LACMA) y a 10 km de Muelle de Santa Mónica. Este alojamiento con aire acondicionado está a 9,2 km de Museo del Automóvil Petersen y ofrece wifi gratis y parking privado en el propio alojamiento.

La casa o chalet tiene 2 dormitorios, 2 baños, ropa de cama, toallas, TV de pantalla plana con canales por cable, zona de comedor, cocina totalmente equipada y terraza con vistas al jardín.

Pacific Park está a 10 km del alojamiento, y Getty Center está a 10 km. El aeropuerto más cercano (Aeropuerto internacional de Los Ángeles) está a 14 km.","['¿Hay spa?', '¿Hay piscina?', 'Parking gratis', '¿Cómo y cuándo pago?', '¿Se sirven desayunos?', '¿Puedo aparcar aquí?', 'Jardín', 'Aire acondicionado', 'Terraza', 'WiFi gratis']",34.0325771,-118.4264195,[]
18,477,"774 North Eastman Avenue, Los Ángeles, CA 90063, Estados Unidos","New Luxury Home with DTLA Views - Ideal for Groups, que tiene vistas al jardín, ofrece alojamiento con terraza y balcón a unos 9,2 km de Estadio Dodger. El alojamiento, que está a 5,8 km de Estación de tren Union, dispone de jardín y parking privado gratis.

Esta villa tiene aire acondicionado y cuenta con 5 dormitorios, TV de pantalla plana y cocina con nevera y lavavajillas. Hay toallas y ropa de cama en la villa.

Teatro Microsoft está a 10 km del alojamiento, y Staples Center está a 10 km. El aeropuerto (Aeropuerto de Hollywood Burbank) está a 25 km.","['Habitaciones familiares', '¿Hay piscina?', 'Parking gratis', 'Terraza', '¿Se sirven desayunos?', '¿Puedo aparcar aquí?', 'Jardín', 'Aire acondicionado', 'Habitaciones sin humo', 'WiFi gratis']",34.0451317,-118.185633,[]
19,592,"2130 Beech Knoll Rd , Hollywood, Los Ángeles, 90046, Estados Unidos","Beech Knoll se encuentra en el barrio de Hollywood, en Los Ángeles, a 6,8 km de Edificio Capitol Records, a 7,1 km de Hollywood Bowl y a 7,3 km de Universal Studios Hollywood. Este alojamiento con aire acondicionado está a 5,8 km de Auditorio Dolby Theatre y ofrece wifi gratis y parking privado en el propio alojamiento.

La casa o chalet cuenta con TV. La casa o chalet también ofrece una cocina bien equipada con nevera, lavavajillas y microondas, y también hay artículos de aseo gratuitos.

Museo del Automóvil Petersen está a 7,8 km del alojamiento, y Museo de Arte del Condado de Los Ángeles (LACMA) está a 7,8 km. El aeropuerto más cercano (Aeropuerto de Hollywood Burbank) está a 12 km del alojamiento.","['William S Hart Park & Off-Leash Dog Park\n1,6 km', 'Parking gratis', 'Laurel Canyon Park\n1,5 km', 'Briar Summit Open Space Preserve\n1,8 km', 'Laurel Avenue Park\n1,8 km', 'Nancy Hoover Pohl Overlook\n1,7 km', 'Barbacoa', 'Wattles Garden Park\n1,9 km', 'Havenhurst Park\n1,6 km', 'WiFi gratis']",34.108734,-118.375162,[]
