,url,latitud,longitude,n_reviews
40,https://www.tripadvisor.com.ar/Attraction_Review-g58759-d278197-Reviews-Manito_Park-Spokane_Washington.html,,,
41,https://www.tripadvisor.com.ar/Attraction_Review-g58775-d254536-Reviews-Point_Defiance_Park-Tacoma_Washington.html,47.310551,-122.531937,1.260 opiniones
42,https://www.tripadvisor.com.ar/Attraction_Review-g58630-d104775-Reviews-Cape_Flattery_Trail-Neah_Bay_Clallam_County_Washington.html,,,
43,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d558679-Reviews-Seattle_Public_Library-Seattle_Washington.html,47.606682,-122.332657,2.230 opiniones
44,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d141275-Reviews-Klondike_Gold_Rush_National_Historical_Park-Seattle_Washington.html,,,
45,https://www.tripadvisor.com.ar/Attraction_Review-g58350-d1167377-Reviews-Whatcom_Falls_Park-Bellingham_Washington.html,48.750805,-122.429153,957 opiniones
46,https://www.tripadvisor.com.ar/Attraction_Review-g58560-d12065473-Reviews-Leavenworth_Reindeer_Farm-Leavenworth_Washington.html,,,
47,https://www.tripadvisor.com.ar/Attraction_Review-g58759-d146280-Reviews-Riverfront_Park-Spokane_Washington.html,47.662399,-117.421494,2.095 opiniones
48,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d141518-Reviews-Museum_of_History_Industry-Seattle_Washington.html,,,
49,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d3184389-Reviews-Chihuly_Garden_and_Glass-Seattle_Washington.html,47.620651,-122.350479,24.994 opiniones
50,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d103584-Reviews-Pike_Place_Market-Seattle_Washington.html,47.609089,-122.341164,21.922 opiniones
51,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d123109-Reviews-Space_Needle-Seattle_Washington.html,,,
52,https://www.tripadvisor.com.ar/Attraction_Review-g60921-d117082-Reviews-Marymere_Falls-Port_Angeles_Clallam_County_Washington.html,48.075081,-123.771004,729 opiniones
53,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d141235-Reviews-Alki_Beach-Seattle_Washington.html,,,
54,https://www.tripadvisor.com.ar/Attraction_Review-g28968-d109354-Reviews-Mount_St_Helens-Washington.html,46.276154,-122.215607,508 opiniones
55,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d2484267-Reviews-Bill_Melinda_Gates_Foundation_Discovery_Center-Seattle_Washington.html,,,
56,https://www.tripadvisor.com.ar/Attraction_Review-g58560-d146148-Reviews-Waterfront_Park-Leavenworth_Washington.html,47.595341,-120.660561,584 opiniones
57,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d7788019-Reviews-Seattle_Light_Rail_Service-Seattle_Washington.html,,,
58,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d7321281-Reviews-Starbucks_Reserve_Roastery_Seattle-Seattle_Washington.html,47.613987,-122.328232,1.391 opiniones
59,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d3184389-Reviews-Chihuly_Garden_and_Glass-Seattle_Washington.html,,,
60,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d103584-Reviews-Pike_Place_Market-Seattle_Washington.html,47.609089,-122.341164,21.922 opiniones
61,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d123109-Reviews-Space_Needle-Seattle_Washington.html,47.620491,-122.349228,19.827 opiniones
62,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d109350-Reviews-The_Museum_of_Flight-Seattle_Washington.html,,,
