,state_id,attraction,categories,reviews_url,region
31,LA,City Park,Parques,https://www.tripadvisor.com.ar/Attraction_Review-g60864-d108045-Reviews-New_Orleans_City_Park-New_Orleans_Louisiana.html,West South Central
32,LA,Preservation Hall,"Monumentos y lugares de interés, Teatros",https://www.tripadvisor.com.ar/Attraction_Review-g60864-d106413-Reviews-Preservation_Hall-New_Orleans_Louisiana.html,West South Central
33,LA,Laura Plantation: Louisiana's Creole Heritage Site,"Museos especializados, Lugares históricos",https://www.tripadvisor.com.ar/Attraction_Review-g40470-d257573-Reviews-Laura_Plantation_Louisiana_s_Creole_Heritage_Site-Vacherie_Louisiana.html,West South Central
34,LA,St. Louis Cemetery No. 1,Cementerios,https://www.tripadvisor.com.ar/Attraction_Review-g60864-d108191-Reviews-St_Louis_Cemetery_No_1-New_Orleans_Louisiana.html,West South Central
35,LA,Blaine Kern's Mardi Gras World,Museos especializados,https://www.tripadvisor.com.ar/Attraction_Review-g60864-d104455-Reviews-Blaine_Kern_s_Mardi_Gras_World-New_Orleans_Louisiana.html,West South Central
36,LA,Houmas House and Gardens,"Lugares históricos, Monumentos y lugares de interés",https://www.tripadvisor.com.ar/Attraction_Review-g40102-d258967-Reviews-Houmas_House_and_Gardens-Darrow_Louisiana.html,West South Central
37,LA,Royal Street,Áreas históricas peatonales,https://www.tripadvisor.com.ar/Attraction_Review-g60864-d109394-Reviews-Royal_Street-New_Orleans_Louisiana.html,West South Central
38,LA,Whitney Plantation,Museos especializados,https://www.tripadvisor.com.ar/Attraction_Review-g14166006-d7276731-Reviews-Whitney_Plantation-Wallace_Louisiana.html,West South Central
39,LA,The Sydney and Walda Besthoff Sculpture Garden at NOMA,Museos de arte,https://www.tripadvisor.com.ar/Attraction_Review-g60864-d3723157-Reviews-The_Sydney_and_Walda_Besthoff_Sculpture_Garden_at_NOMA-New_Orleans_Louisiana.html,West South Central
40,LA,Basin St. Station,Centros de información turística,https://www.tripadvisor.com.ar/Attraction_Review-g60864-d1416629-Reviews-Basin_St_Station-New_Orleans_Louisiana.html,West South Central
41,LA,Hermann-Grima House,"Lugares históricos, Museos de historia",https://www.tripadvisor.com.ar/Attraction_Review-g60864-d109321-Reviews-Hermann_Grima_House-New_Orleans_Louisiana.html,West South Central
42,LA,New Orleans Pharmacy Museum,Museos especializados,https://www.tripadvisor.com.ar/Attraction_Review-g60864-d133387-Reviews-New_Orleans_Pharmacy_Museum-New_Orleans_Louisiana.html,West South Central
43,LA,The Myrtles Plantation,"Lugares históricos, Monumentos y lugares de interés",https://www.tripadvisor.com.ar/Attraction_Review-g40411-d1079203-Reviews-The_Myrtles_Plantation-Saint_Francisville_Louisiana.html,West South Central
44,LA,Jean Lafitte National Historical Park and Preserve,"Parques nacionales, Áreas de naturaleza y vida silvestre",https://www.tripadvisor.com.ar/Attraction_Review-g60864-d210266-Reviews-Jean_Lafitte_National_Historical_Park_and_Preserve-New_Orleans_Louisiana.html,West South Central
45,LA,RTA - Streetcars,Sistemas de transporte público,https://www.tripadvisor.com.ar/Attraction_Review-g60864-d109338-Reviews-RTA_Streetcars-New_Orleans_Louisiana.html,West South Central
46,LA,Audubon Park,Parques,https://www.tripadvisor.com.ar/Attraction_Review-g60864-d133282-Reviews-Audubon_Park-New_Orleans_Louisiana.html,West South Central
47,LA,The Sazerac House,"Destilerías, Museos especializados",https://www.tripadvisor.com.ar/Attraction_Review-g60864-d19063656-Reviews-The_Sazerac_House-New_Orleans_Louisiana.html,West South Central
48,LA,The Historic New Orleans Collection,Museos especializados,https://www.tripadvisor.com.ar/Attraction_Review-g60864-d109392-Reviews-The_Historic_New_Orleans_Collection-New_Orleans_Louisiana.html,West South Central
49,LA,New Orleans Museum of Art,Museos especializados,https://www.tripadvisor.com.ar/Attraction_Review-g60864-d106444-Reviews-New_Orleans_Museum_of_Art-New_Orleans_Louisiana.html,West South Central
