,state_id,attraction,reviews_url,region,new_categories
36,IL,Anderson Japanese Gardens,https://www.tripadvisor.com.ar/Attraction_Review-g36619-d281992-Reviews-Anderson_Japanese_Gardens-Rockford_Illinois.html,East North Central,Naturaleza
37,IL,Psychic Medium Chris McBrien,https://www.tripadvisor.com.ar/Attraction_Review-g36022-d15050335-Reviews-Psychic_Medium_Chris_McBrien-Galena_Illinois.html,East North Central,Entretenimiento
38,IL,Grant Park,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d132807-Reviews-Grant_Park-Chicago_Illinois.html,East North Central,Naturaleza
39,IL,University of Chicago,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d497032-Reviews-University_of_Chicago-Chicago_Illinois.html,East North Central,Ciencia
40,IL,Engine 18 Chicago Fire,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d8521544-Reviews-Engine_18_Chicago_Fire-Chicago_Illinois.html,East North Central,
41,IL,Dowling House,https://www.tripadvisor.com.ar/Attraction_Review-g36022-d284981-Reviews-Dowling_House-Galena_Illinois.html,East North Central,Historia
42,IL,Museum Of Illusions Chicago,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d21325824-Reviews-Museum_Of_Illusions_Chicago-Chicago_Illinois.html,East North Central,Ciencia
43,IL,John Hancock Center,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d15262626-Reviews-John_Hancock_Center-Chicago_Illinois.html,East North Central,Historia
44,IN,Children's Museum of Indianapolis,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103671-Reviews-Children_s_Museum_of_Indianapolis-Indianapolis_Indiana.html,East North Central,
45,IN,Indianapolis Motor Speedway Museum,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103672-Reviews-Indianapolis_Motor_Speedway_Museum-Indianapolis_Indiana.html,East North Central,Ciencia
46,IN,Indianapolis Museum of Art,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103675-Reviews-Indianapolis_Museum_of_Art-Indianapolis_Indiana.html,East North Central,Ciencia
47,IN,Benjamin Harrison Presidential Site,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d274423-Reviews-Benjamin_Harrison_Presidential_Site-Indianapolis_Indiana.html,East North Central,Historia
48,IN,Lucas Oil Stadium,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d1633438-Reviews-Lucas_Oil_Stadium-Indianapolis_Indiana.html,East North Central,Deportes
49,IN,University of Notre Dame,https://www.tripadvisor.com.ar/Attraction_Review-g37535-d184866-Reviews-University_of_Notre_Dame-South_Bend_Indiana.html,East North Central,Ciencia
50,IN,Turkey Run State Park,https://www.tripadvisor.com.ar/Attraction_Review-g37296-d967122-Reviews-Turkey_Run_State_Park-Marshall_Indiana.html,East North Central,
51,IN,Fort Wayne Children's Zoo,https://www.tripadvisor.com.ar/Attraction_Review-g37114-d567810-Reviews-Fort_Wayne_Children_s_Zoo-Fort_Wayne_Indiana.html,East North Central,
52,IN,Urban Vines Winery & Brewery Co.,https://www.tripadvisor.com.ar/Attraction_Review-g37626-d12456575-Reviews-Urban_Vines_Winery_Brewery_Co-Westfield_Hamilton_County_Indiana.html,East North Central,Comida
53,IN,Indiana Dunes State Park,https://www.tripadvisor.com.ar/Attraction_Review-g37006-d259610-Reviews-Indiana_Dunes_State_Park-Chesterton_Indiana.html,East North Central,Naturaleza
54,IN,Central Canal,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d1682106-Reviews-Central_Canal-Indianapolis_Indiana.html,East North Central,
55,IN,Studebaker National Museum,https://www.tripadvisor.com.ar/Attraction_Review-g37535-d183848-Reviews-Studebaker_National_Museum-South_Bend_Indiana.html,East North Central,Ciencia
