,reviews_url,latitud,longitude,n_reviews
40,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d8521544-Reviews-Engine_18_Chicago_Fire-Chicago_Illinois.html,41.864159,-87.65625,64
41,https://www.tripadvisor.com.ar/Attraction_Review-g36022-d284981-Reviews-Dowling_House-Galena_Illinois.html,42.41708,-90.426971,223
42,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d21325824-Reviews-Museum_Of_Illusions_Chicago-Chicago_Illinois.html,41.883163,-87.626633,87
43,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d15262626-Reviews-John_Hancock_Center-Chicago_Illinois.html,41.898613,-87.623352,66
44,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103671-Reviews-Children_s_Museum_of_Indianapolis-Indianapolis_Indiana.html,39.810604,-86.157776,3973
45,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103672-Reviews-Indianapolis_Motor_Speedway_Museum-Indianapolis_Indiana.html,39.789955,-86.233681,2888
46,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103675-Reviews-Indianapolis_Museum_of_Art-Indianapolis_Indiana.html,39.825569,-86.182503,1472
47,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d274423-Reviews-Benjamin_Harrison_Presidential_Site-Indianapolis_Indiana.html,39.784092,-86.154259,521
48,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d1633438-Reviews-Lucas_Oil_Stadium-Indianapolis_Indiana.html,39.76017,-86.163765,1618
49,https://www.tripadvisor.com.ar/Attraction_Review-g37535-d184866-Reviews-University_of_Notre_Dame-South_Bend_Indiana.html,41.696217,-86.23912,1072
50,https://www.tripadvisor.com.ar/Attraction_Review-g37296-d967122-Reviews-Turkey_Run_State_Park-Marshall_Indiana.html,39.882301,-87.195839,681
51,https://www.tripadvisor.com.ar/Attraction_Review-g37114-d567810-Reviews-Fort_Wayne_Children_s_Zoo-Fort_Wayne_Indiana.html,41.105633,-85.154243,1191
52,https://www.tripadvisor.com.ar/Attraction_Review-g37626-d12456575-Reviews-Urban_Vines_Winery_Brewery_Co-Westfield_Hamilton_County_Indiana.html,40.020947,-86.153519,580
53,https://www.tripadvisor.com.ar/Attraction_Review-g37006-d259610-Reviews-Indiana_Dunes_State_Park-Chesterton_Indiana.html,41.652271,-87.062653,891
54,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d1682106-Reviews-Central_Canal-Indianapolis_Indiana.html,39.78162,-86.16494,1161
55,https://www.tripadvisor.com.ar/Attraction_Review-g37535-d183848-Reviews-Studebaker_National_Museum-South_Bend_Indiana.html,41.674675,-86.261887,614
56,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103677-Reviews-Indiana_War_Memorial-Indianapolis_Indiana.html,39.773945,-86.156784,669
