,attraction,n_reviews,categories,state,region
91,Acadia National Park Tours,1.440,"Tours de naturaleza y vida silvestre, Tours en autobús",Maine,New England
92,Sea Princess Cruises,1.505,Tours en barco,Maine,New England
93,Hardy Boat Cruises,1.110,"Tours en barco, Tours turísticos",Maine,New England
94,Ultimate Dog Sledding Experience,124,Tours de esquí y de nieve,Maine,New England
95,Scenic Flights of Acadia,735,Tours aéreos,Maine,New England
96,Lucky Catch Cruises,845,"Tours en barco, Excursiones de pesca",Maine,New England
97,Downeast Windjammer Cruises Lines,2.240,Tours en barco,Maine,New England
98,The Real Portland Tour,1.039,Tours turísticos,Maine,New England
99,Skydive New England,601,Tours extremos y de adrenalina,Maine,New England
100,Maine Brews Cruise,1.359,"Tours y degustaciones de cerveza, Tours turísticos",Maine,New England
101,Three Rivers Whitewater Rafting,851,"Rafting y nado con salvavidas en el río, Tours extremos y de adrenalina",Maine,New England
102,Rugosa Lobster Tours,1.017,Tours en barco,Maine,New England
103,Coastal Kayaking Tours,811,Práctica de kayak y canotaje,Maine,New England
104,At Your Service Tours,843,"Tours históricos, Tours turísticos",Maine,New England
105,Finestkind Scenic Cruises,581,Tours en barco,Maine,New England
106,Portland Fire Engine,1.167,"Tours por la ciudad, Tours culturales",Maine,New England
107,Acadia Mountain Guides Climbing School,783,"Clínicas y campos deportivos, Tours para escalar",Maine,New England
108,Island Cruises,611,"Tours en barco, Excursiones de pesca",Maine,New England
109,A Morning In Maine,595,Tours en barco,Maine,New England
110,Schooner Olad & Cutter Owl,698,"Tours en barco, Escapadas de un día",Maine,New England
111,Mainestreet,160,"Bares y boliches, Bares gay",Maine,New England
112,Kancamagus Highway,3.581,Rutas turísticas,New Hampshire,New England
113,Flume Gorge,1.768,"Áreas históricas peatonales, Formaciones geológicas",New Hampshire,New England
114,Santa's Village,1.254,Parques de diversión y temáticos,New Hampshire,New England
115,Diana's Baths,1.591,Cascadas,New Hampshire,New England
116,Clark's Bears,1.141,Parques de diversión y temáticos,New Hampshire,New England
117,Cathedral Ledge,1.034,"Miradores, Formaciones geológicas",New Hampshire,New England
118,Story Land,1.301,Parques de diversión y temáticos,New Hampshire,New England
119,Lost River Gorge and Boulder Caves,734,"Áreas de naturaleza y vida silvestre, Parques",New Hampshire,New England
120,Strawbery Banke Museum,1.155,"Lugares históricos, Museos de historia",New Hampshire,New England
121,Hampton Beach State Park,1.389,Playas,New Hampshire,New England
122,Seven Birches Winery,386,Viñedos con bodegas,New Hampshire,New England
123,Canterbury Shaker Village,372,"Lugares históricos, Museos de historia",New Hampshire,New England
124,Currier Museum of Art,645,Museos de arte,New Hampshire,New England
125,Market Square,751,Monumentos y lugares de interés,New Hampshire,New England
126,Castle in the Clouds,643,Edificios con valor arquitectónico,New Hampshire,New England
127,Whale's Tale Waterpark,555,Parques acuáticos,New Hampshire,New England
