,state_id,attraction,categories,reviews_url,region
32,IL,Medieval Torture Museum,Museos especializados,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d23630795-Reviews-Medieval_Torture_Museum-Chicago_Illinois.html,East North Central
33,IL,Route 66,"Monumentos y lugares de interés, Rutas turísticas",https://www.tripadvisor.com.ar/Attraction_Review-g35805-d284865-Reviews-Route_66-Chicago_Illinois.html,East North Central
34,IL,Lakefront Trail,"Rutas para ciclismo, Rutas para senderismo",https://www.tripadvisor.com.ar/Attraction_Review-g35805-d4226139-Reviews-Lakefront_Trail-Chicago_Illinois.html,East North Central
35,IL,The Chicago Theatre,Teatros,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d103784-Reviews-The_Chicago_Theatre-Chicago_Illinois.html,East North Central
36,IL,Anderson Japanese Gardens,Jardines,https://www.tripadvisor.com.ar/Attraction_Review-g36619-d281992-Reviews-Anderson_Japanese_Gardens-Rockford_Illinois.html,East North Central
37,IL,Psychic Medium Chris McBrien,"Lugares misteriosos, Centros de juego y entretenimiento",https://www.tripadvisor.com.ar/Attraction_Review-g36022-d15050335-Reviews-Psychic_Medium_Chris_McBrien-Galena_Illinois.html,East North Central
38,IL,Grant Park,Parques,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d132807-Reviews-Grant_Park-Chicago_Illinois.html,East North Central
39,IL,University of Chicago,"Universidades y escuelas, Lugares educativos",https://www.tripadvisor.com.ar/Attraction_Review-g35805-d497032-Reviews-University_of_Chicago-Chicago_Illinois.html,East North Central
40,IL,Engine 18 Chicago Fire,Monumentos y lugares de interés,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d8521544-Reviews-Engine_18_Chicago_Fire-Chicago_Illinois.html,East North Central
41,IL,Dowling House,Lugares históricos,https://www.tripadvisor.com.ar/Attraction_Review-g36022-d284981-Reviews-Dowling_House-Galena_Illinois.html,East North Central
42,IL,Museum Of Illusions Chicago,Museos especializados,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d21325824-Reviews-Museum_Of_Illusions_Chicago-Chicago_Illinois.html,East North Central
43,IL,John Hancock Center,Edificios con valor arquitectónico,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d15262626-Reviews-John_Hancock_Center-Chicago_Illinois.html,East North Central
44,IN,Children's Museum of Indianapolis,Museos para niños,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103671-Reviews-Children_s_Museum_of_Indianapolis-Indianapolis_Indiana.html,East North Central
45,IN,Indianapolis Motor Speedway Museum,"Museos especializados, Pistas de carreras de automóviles",https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103672-Reviews-Indianapolis_Motor_Speedway_Museum-Indianapolis_Indiana.html,East North Central
46,IN,Indianapolis Museum of Art,"Museos especializados, Lugares históricos",https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103675-Reviews-Indianapolis_Museum_of_Art-Indianapolis_Indiana.html,East North Central
47,IN,Benjamin Harrison Presidential Site,Lugares históricos,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d274423-Reviews-Benjamin_Harrison_Presidential_Site-Indianapolis_Indiana.html,East North Central
48,IN,Lucas Oil Stadium,Complejos deportivos,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d1633438-Reviews-Lucas_Oil_Stadium-Indianapolis_Indiana.html,East North Central
49,IN,University of Notre Dame,Universidades y escuelas,https://www.tripadvisor.com.ar/Attraction_Review-g37535-d184866-Reviews-University_of_Notre_Dame-South_Bend_Indiana.html,East North Central
50,IN,Turkey Run State Park,Parques estatales,https://www.tripadvisor.com.ar/Attraction_Review-g37296-d967122-Reviews-Turkey_Run_State_Park-Marshall_Indiana.html,East North Central
51,IN,Fort Wayne Children's Zoo,Zoológicos,https://www.tripadvisor.com.ar/Attraction_Review-g37114-d567810-Reviews-Fort_Wayne_Children_s_Zoo-Fort_Wayne_Indiana.html,East North Central
52,IN,Urban Vines Winery & Brewery Co.,"Viñedos con bodegas, Cervecerías",https://www.tripadvisor.com.ar/Attraction_Review-g37626-d12456575-Reviews-Urban_Vines_Winery_Brewery_Co-Westfield_Hamilton_County_Indiana.html,East North Central
53,IN,Indiana Dunes State Park,"Parques estatales, Parques",https://www.tripadvisor.com.ar/Attraction_Review-g37006-d259610-Reviews-Indiana_Dunes_State_Park-Chesterton_Indiana.html,East North Central
54,IN,Central Canal,Monumentos y lugares de interés,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d1682106-Reviews-Central_Canal-Indianapolis_Indiana.html,East North Central
55,IN,Studebaker National Museum,"Museos especializados, Lugares educativos",https://www.tripadvisor.com.ar/Attraction_Review-g37535-d183848-Reviews-Studebaker_National_Museum-South_Bend_Indiana.html,East North Central
56,IN,Indiana War Memorial,"Museos militares, Monumentos y estatuas",https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103677-Reviews-Indiana_War_Memorial-Indianapolis_Indiana.html,East North Central
57,IN,The Eiteljorg Museum,Museos especializados,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d110141-Reviews-The_Eiteljorg_Museum-Indianapolis_Indiana.html,East North Central
58,IN,Basilica of the Sacred Heart,Iglesias y catedrales,https://www.tripadvisor.com.ar/Attraction_Review-g37535-d4522203-Reviews-Basilica_of_the_Sacred_Heart-South_Bend_Indiana.html,East North Central
59,IN,Brown County State Park,Parques,https://www.tripadvisor.com.ar/Attraction_Review-g37361-d3974892-Reviews-Brown_County_State_Park-Nashville_Indiana.html,East North Central
60,IN,Victory Field,Campos de juego y estadios,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d2242259-Reviews-Victory_Field-Indianapolis_Indiana.html,East North Central
61,IN,USS LST Ship Memorial,"Museos militares, Museos de historia",https://www.tripadvisor.com.ar/Attraction_Review-g37093-d1817905-Reviews-USS_LST_Ship_Memorial-Evansville_Indiana.html,East North Central
62,IN,Marengo Cave,Cavernas y cuevas,https://www.tripadvisor.com.ar/Attraction_Review-g37291-d268920-Reviews-Marengo_Cave-Marengo_Indiana.html,East North Central
63,IN,Clifty Falls State Park,Parques estatales,https://www.tripadvisor.com.ar/Attraction_Review-g37289-d103667-Reviews-Clifty_Falls_State_Park-Madison_Indiana.html,East North Central
