,nationality,acommodation,stay,company,review_title,good_review,bad_review,url,hotel_id,date,rate,complete_date
10,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,4 noches,En pareja,"Overall, it was a great stay.","Comfortable, spacious and clean. Great location.",,,https://www.booking.com/hotel/us/hyatt-house-irvine-john-wayne-airport.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=107&sr_order=popularity&srpvid=710511f6a62d0117&srepoch=1702089211&all_sr_blocks=214200120_96746397_2_1_0&highlighted_blocks=214200120_96746397_2_1_0&matching_block_id=214200120_96746397_2_1_0&sr_pri_blocks=214200120_96746397_2_1_0__99792&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,septiembre de 2023,"8,0",Comentó en: 4 de septiembre de 2023
11,Estados Unidos,Den Room with King Bed,4 noches,En pareja,Excepcional,"Very clean, great breakfast, good price and location, great staff !",,,https://www.booking.com/hotel/us/hyatt-house-irvine-john-wayne-airport.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=107&sr_order=popularity&srpvid=710511f6a62d0117&srepoch=1702089211&all_sr_blocks=214200120_96746397_2_1_0&highlighted_blocks=214200120_96746397_2_1_0&matching_block_id=214200120_96746397_2_1_0&sr_pri_blocks=214200120_96746397_2_1_0__99792&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,julio de 2023,10,Comentó en: 22 de agosto de 2023
12,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,Location was central to some good places in Irvine. Breakfast was gooood!!! Exceptional,Location was central to some good places in Irvine. Breakfast was gooood!!!,,,https://www.booking.com/hotel/us/hyatt-house-irvine-john-wayne-airport.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=107&sr_order=popularity&srpvid=710511f6a62d0117&srepoch=1702089211&all_sr_blocks=214200120_96746397_2_1_0&highlighted_blocks=214200120_96746397_2_1_0&matching_block_id=214200120_96746397_2_1_0&sr_pri_blocks=214200120_96746397_2_1_0__99792&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,agosto de 2023,10,Comentó en: 21 de agosto de 2023
13,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",2 noches,En familia,Fantástico,The staff was great.i like the set of home you feel in your room,,,https://www.booking.com/hotel/us/hyatt-house-irvine-john-wayne-airport.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=107&sr_order=popularity&srpvid=710511f6a62d0117&srepoch=1702089211&all_sr_blocks=214200120_96746397_2_1_0&highlighted_blocks=214200120_96746397_2_1_0&matching_block_id=214200120_96746397_2_1_0&sr_pri_blocks=214200120_96746397_2_1_0__99792&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,agosto de 2023,"9,0",Comentó en: 20 de agosto de 2023
14,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,10 noches,En familia,Muy bien,The location & breakfast were so good!,Not so much!,,https://www.booking.com/hotel/us/hyatt-house-irvine-john-wayne-airport.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=107&sr_order=popularity&srpvid=710511f6a62d0117&srepoch=1702089211&all_sr_blocks=214200120_96746397_2_1_0&highlighted_blocks=214200120_96746397_2_1_0&matching_block_id=214200120_96746397_2_1_0&sr_pri_blocks=214200120_96746397_2_1_0__99792&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,agosto de 2023,"8,0",Comentó en: 17 de agosto de 2023
15,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,Excepcional,Staff. Room. Location.,,,https://www.booking.com/hotel/us/hyatt-house-irvine-john-wayne-airport.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=107&sr_order=popularity&srpvid=710511f6a62d0117&srepoch=1702089211&all_sr_blocks=214200120_96746397_2_1_0&highlighted_blocks=214200120_96746397_2_1_0&matching_block_id=214200120_96746397_2_1_0&sr_pri_blocks=214200120_96746397_2_1_0__99792&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,agosto de 2023,10,Comentó en: 16 de agosto de 2023
16,Estados Unidos,Den Room with King Bed,2 noches,En pareja,Overall everything was very nice and clean. Staff was great. I’d definitely stay here again. I do wish the breakfast had,Property was very nice with cozy rooms.,The breakfast is a plus but could be better/ more options. Wish it had a hot tub.,,https://www.booking.com/hotel/us/hyatt-house-irvine-john-wayne-airport.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=107&sr_order=popularity&srpvid=710511f6a62d0117&srepoch=1702089211&all_sr_blocks=214200120_96746397_2_1_0&highlighted_blocks=214200120_96746397_2_1_0&matching_block_id=214200120_96746397_2_1_0&sr_pri_blocks=214200120_96746397_2_1_0__99792&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,agosto de 2023,"9,0",Comentó en: 15 de agosto de 2023
17,Estados Unidos,Den Room with King Bed,2 noches,Persona que viaja sola,Fantástico,"The breakfast at the hotel is great! They don't provide a variety of food but are balanced, nutritional, and most importantly fresh. Appreciate their service.",it would be better If they could have provide a pair of spare slippers.,,https://www.booking.com/hotel/us/hyatt-house-irvine-john-wayne-airport.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=107&sr_order=popularity&srpvid=710511f6a62d0117&srepoch=1702089211&all_sr_blocks=214200120_96746397_2_1_0&highlighted_blocks=214200120_96746397_2_1_0&matching_block_id=214200120_96746397_2_1_0&sr_pri_blocks=214200120_96746397_2_1_0__99792&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,julio de 2023,"9,0",Comentó en: 31 de julio de 2023
18,Emiratos Árabes Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,Waiting for the refund of the money deposit done during the check-in with the credit card.,Overall cleanliness and staff are very good.,Breakfast could have been better.,,https://www.booking.com/hotel/us/hyatt-house-irvine-john-wayne-airport.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=107&sr_order=popularity&srpvid=710511f6a62d0117&srepoch=1702089211&all_sr_blocks=214200120_96746397_2_1_0&highlighted_blocks=214200120_96746397_2_1_0&matching_block_id=214200120_96746397_2_1_0&sr_pri_blocks=214200120_96746397_2_1_0__99792&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,junio de 2023,"8,0",Comentó en: 25 de julio de 2023
19,Qatar,Suite Estudio con cocina y sofá cama - Cama extragrande,2 noches,En grupo,Excepcional,Very good,,,https://www.booking.com/hotel/us/hyatt-house-irvine-john-wayne-airport.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=107&sr_order=popularity&srpvid=710511f6a62d0117&srepoch=1702089211&all_sr_blocks=214200120_96746397_2_1_0&highlighted_blocks=214200120_96746397_2_1_0&matching_block_id=214200120_96746397_2_1_0&sr_pri_blocks=214200120_96746397_2_1_0__99792&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,junio de 2023,10,Comentó en: 23 de julio de 2023
