,state_id,attraction,reviews_url,region,new_categories,latitud,longitude,n_reviews
45,IL,The Chicago Theatre,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d103784-Reviews-The_Chicago_Theatre-Chicago_Illinois.html,East North Central,,41.885315,-87.627777,812.0
46,IL,Anderson Japanese Gardens,https://www.tripadvisor.com.ar/Attraction_Review-g36619-d281992-Reviews-Anderson_Japanese_Gardens-Rockford_Illinois.html,East North Central,Naturaleza,42.289291,-89.058807,862.0
47,IL,Psychic Medium Chris McBrien,https://www.tripadvisor.com.ar/Attraction_Review-g36022-d15050335-Reviews-Psychic_Medium_Chris_McBrien-Galena_Illinois.html,East North Central,Entretenimiento,42.414478,-90.430328,322.0
48,IL,Grant Park,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d132807-Reviews-Grant_Park-Chicago_Illinois.html,East North Central,Naturaleza,41.8843,-87.62162,931.0
49,IL,University of Chicago,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d497032-Reviews-University_of_Chicago-Chicago_Illinois.html,East North Central,Ciencia,41.789612,-87.600937,476.0
50,IL,Engine 18 Chicago Fire,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d8521544-Reviews-Engine_18_Chicago_Fire-Chicago_Illinois.html,East North Central,,41.864159,-87.65625,64.0
51,IL,Dowling House,https://www.tripadvisor.com.ar/Attraction_Review-g36022-d284981-Reviews-Dowling_House-Galena_Illinois.html,East North Central,Historia,42.41708,-90.426971,223.0
52,IL,Museum Of Illusions Chicago,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d21325824-Reviews-Museum_Of_Illusions_Chicago-Chicago_Illinois.html,East North Central,Ciencia,41.883163,-87.626633,87.0
53,IL,John Hancock Center,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d15262626-Reviews-John_Hancock_Center-Chicago_Illinois.html,East North Central,Historia,41.898613,-87.623352,66.0
54,IN,Children's Museum of Indianapolis,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103671-Reviews-Children_s_Museum_of_Indianapolis-Indianapolis_Indiana.html,East North Central,,39.810604,-86.157776,3973.0
56,IN,Indianapolis Motor Speedway Museum,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103672-Reviews-Indianapolis_Motor_Speedway_Museum-Indianapolis_Indiana.html,East North Central,Ciencia,39.789955,-86.233681,2888.0
58,IN,Indianapolis Museum of Art,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103675-Reviews-Indianapolis_Museum_of_Art-Indianapolis_Indiana.html,East North Central,Ciencia,39.825569,-86.182503,1472.0
60,IN,Benjamin Harrison Presidential Site,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d274423-Reviews-Benjamin_Harrison_Presidential_Site-Indianapolis_Indiana.html,East North Central,Historia,39.784092,-86.154259,521.0
61,IN,Lucas Oil Stadium,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d1633438-Reviews-Lucas_Oil_Stadium-Indianapolis_Indiana.html,East North Central,Deportes,39.76017,-86.163765,1618.0
62,IN,University of Notre Dame,https://www.tripadvisor.com.ar/Attraction_Review-g37535-d184866-Reviews-University_of_Notre_Dame-South_Bend_Indiana.html,East North Central,Ciencia,41.696217,-86.23912,1072.0
63,IN,Turkey Run State Park,https://www.tripadvisor.com.ar/Attraction_Review-g37296-d967122-Reviews-Turkey_Run_State_Park-Marshall_Indiana.html,East North Central,,39.882301,-87.195839,681.0
64,IN,Fort Wayne Children's Zoo,https://www.tripadvisor.com.ar/Attraction_Review-g37114-d567810-Reviews-Fort_Wayne_Children_s_Zoo-Fort_Wayne_Indiana.html,East North Central,,41.105633,-85.154243,1191.0
65,IN,Urban Vines Winery & Brewery Co.,https://www.tripadvisor.com.ar/Attraction_Review-g37626-d12456575-Reviews-Urban_Vines_Winery_Brewery_Co-Westfield_Hamilton_County_Indiana.html,East North Central,Comida,40.020947,-86.153519,580.0
66,IN,Indiana Dunes State Park,https://www.tripadvisor.com.ar/Attraction_Review-g37006-d259610-Reviews-Indiana_Dunes_State_Park-Chesterton_Indiana.html,East North Central,Naturaleza,41.652271,-87.062653,891.0
67,IN,Central Canal,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d1682106-Reviews-Central_Canal-Indianapolis_Indiana.html,East North Central,,39.78162,-86.16494,1161.0
68,IN,Studebaker National Museum,https://www.tripadvisor.com.ar/Attraction_Review-g37535-d183848-Reviews-Studebaker_National_Museum-South_Bend_Indiana.html,East North Central,Ciencia,41.674675,-86.261887,614.0
69,IN,Indiana War Memorial,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103677-Reviews-Indiana_War_Memorial-Indianapolis_Indiana.html,East North Central,Historia,39.773945,-86.156784,669.0
70,IN,The Eiteljorg Museum,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d110141-Reviews-The_Eiteljorg_Museum-Indianapolis_Indiana.html,East North Central,Ciencia,39.768566,-86.1679,869.0
71,IN,Basilica of the Sacred Heart,https://www.tripadvisor.com.ar/Attraction_Review-g37535-d4522203-Reviews-Basilica_of_the_Sacred_Heart-South_Bend_Indiana.html,East North Central,Espiritualidad,41.700497,-86.240784,700.0
72,IN,Brown County State Park,https://www.tripadvisor.com.ar/Attraction_Review-g37361-d3974892-Reviews-Brown_County_State_Park-Nashville_Indiana.html,East North Central,Naturaleza,39.212101,-86.244568,846.0
73,IN,Victory Field,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d2242259-Reviews-Victory_Field-Indianapolis_Indiana.html,East North Central,Deportes,39.76416,-86.168472,1286.0
74,IN,USS LST Ship Memorial,https://www.tripadvisor.com.ar/Attraction_Review-g37093-d1817905-Reviews-USS_LST_Ship_Memorial-Evansville_Indiana.html,East North Central,,37.973305,-87.58046,383.0
75,IN,Marengo Cave,https://www.tripadvisor.com.ar/Attraction_Review-g37291-d268920-Reviews-Marengo_Cave-Marengo_Indiana.html,East North Central,,38.374546,-86.348869,464.0
76,IN,Clifty Falls State Park,https://www.tripadvisor.com.ar/Attraction_Review-g37289-d103667-Reviews-Clifty_Falls_State_Park-Madison_Indiana.html,East North Central,,38.76088,-85.418793,667.0
83,IN,Indiana State Museum,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d274288-Reviews-Indiana_State_Museum-Indianapolis_Indiana.html,East North Central,Ciencia,39.76907,-86.169312,530.0
84,IN,Monument Circle,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d7038008-Reviews-Monument_Circle-Indianapolis_Indiana.html,East North Central,Historia,39.768547,-86.158882,919.0
