,nationality,acommodation,stay,company,review,hotel_id,is_american,date,sentiment
46,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1,En familia,friendly staff great location very clean,11042.0,1,2022-09-05,0.5505555555555556
47,Estados Unidos,Den Room with King Bed,3,En familia,"DnThe location was close to restaurants, stores, gas etc. The parking area was safe and the grounds. The rooms were very clean and comfortable and the staff was great ! I will stay there again when I am in Irvine. I highly recom.end Hyatt House ! The breakfast spread was great !!",11042.0,1,2022-08-03,0.5961111111111111
48,Israel,Den Room with King Bed,5,En familia,The room was very nice and clean. The staff was nice. The only problem was the bad. The mattress was extremely soft and uncomfortable,11042.0,0,2022-06-26,0.09238095238095242
49,Estados Unidos,Den Room with King Bed,8,Persona que viaja sola,the location is great,11042.0,1,2022-06-23,0.8
50,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",1,Persona que viaja sola,"everything was fantastic. great location, huge and comfortable suite, very functional kitchenette, central location, easy parking, nice shower.",11042.0,1,2022-06-20,0.40416666666666673
52,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1,En familia,"spacious, clean",11042.0,1,2022-05-23,0.3666666666666667
53,Estados Unidos,Den Room with King Bed,3,En pareja,"fantastic customer service and customer focus. great breakfast. newer, modern building so rooms are up to date and fresh. appreciated the safe dedicated parking.",11042.0,1,2022-05-19,0.4000000000000001
54,Arabia Saudí,Habitación Doble - 2 camas dobles y sofá cama,1,En grupo,"Clean , big rooms , comfortable bed",11042.0,0,2022-05-14,0.2555555555555556
55,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,4,En familia,"sleek, clean, helpful staff.",11042.0,1,2022-04-19,0.3666666666666667
56,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1,En familia,"The property was clean, the rooms were extremely comfortable and spacious, the staff was friendly and helpful, in the morning breakfast was wonderfully delicious. My family had a great time and felt safe and well taken care of.",11042.0,1,2022-04-04,0.5736111111111111
57,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,5,En pareja,"really nice facilities, close to all the essentials and what the city had to offer",11042.0,1,2022-04-03,0.6
58,Canadá,Habitación Doble - 2 camas dobles y sofá cama,5,En familia,"The first day they didn't clean our bed, we have to spend a night on the dirty bed. When we complained, they didn't show any sorry. The third day, we found some hair and other dirty things after they cleaned the room. 
The breakfast staff is very active for close supply at 9:30AM. We missed 3 times of breakfast.",11042.0,0,2022-03-25,-0.18685185185185185
59,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,2,En pareja,new and very clean staff was really great!!,11042.0,1,2022-03-04,0.5376767676767676
60,Estados Unidos,Habitación con cama extragrande y ducha a ras de suelo - Adaptada para personas con movilidad reducida,3,Persona que viaja sola,Abel the manager was amazing great service he needs a bonus!,11042.0,1,2022-02-15,0.8
61,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,4,En familia,Great size room and very clean. Really helpful staff.,11042.0,1,2022-01-31,0.4922222222222223
62,Singapur,Suite Estudio con cocina y sofá cama - Cama extragrande,1,Persona que viaja sola,as per photos - one bed studio was great,11042.0,0,2022-01-23,0.8
63,Francia,Habitación con cama extragrande y ducha a ras de suelo - Adaptada para personas con movilidad reducida,2,Persona que viaja sola,"Breakfast was great, staff friendly and the hotel was very clean.",11042.0,0,2022-01-18,0.5505555555555556
64,Suiza,Suite Estudio con cocina y sofá cama - Cama extragrande,1,Persona que viaja sola,Great staff. Great modern room. Highly recommended property!,11042.0,0,2022-01-16,0.5
