,nationality,acommodation,stay,company,review,hotel_id,is_american,date,sentiment
691,Estados Unidos,Habitación con 2 camas grandes,2,En pareja,"Bathroom was very clean. 
House keeper were very friendly and dedicated to their job.
Front desk receptionists are just OK!",12695.0,1,2021-12-27,0.5297222222222223
692,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,3,En pareja,"the location is perfectly close enough to everything but definitely need an Uber. balcony was the best part with an amazing view of the bay, staff was extremely helpful.",12695.0,1,2021-12-22,0.41250000000000003
693,Estados Unidos,Habitación con 2 camas grandes,1,En familia,The location was excellent. Loved the view and proximity to the Swiss Consulate. Enjoyed all the TV channel options. Also appreciated the room safe. Room was clean and comfortable. Also appreciated the covid precautions.,12695.0,1,2021-12-22,0.4833333333333334
694,Estados Unidos,Habitación con cama extragrande.,2,Persona que viaja sola,iconic architecture and location,12695.0,1,2021-12-16,0.5
695,Estados Unidos,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,1,En grupo,easy to get to & location,12695.0,1,2021-12-13,0.43333333333333335
697,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,"Awesome location, the staff is great, the room is clean, the view is tremendous",12695.0,1,2021-12-09,0.6250000000000001
698,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,2,En pareja,"Our king room was spacious with floor to ceiling windows overlooking the Bay Bridge. We were on the 14th floor, but have staying in similar rooms at this hotel before. We like looking out at the Ferry Building and Bay Bridge. The room was immaculate, the towels were flurry and white, the hotel is quiet, and the personnel are exceptionally friendly. We rode BART to get to SF, walked lots, took several UBER rides, rode the Metro, and even a streetcar. We even rode a Cable Car twice just because we could. This hotel is a great access point to anywhere in SF. We like the size, the location, and the property. (We've been there many times.). We will return!",12695.0,1,2021-12-09,0.2571428571428572
699,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,1,Persona que viaja sola,"I had a lovely view of SF Bay, a surrounding park, and a fountain. The staff was able to get me into my room early so I could prepare for my meeting. Overall a good experience. I have stayed several times and it is my preferred hotel in SF.",12695.0,1,2021-12-08,0.3
701,Estados Unidos,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,2,En pareja,"very clean,nicely located to great restaurants and very friendly staff.",12695.0,1,2021-12-03,0.49583333333333335
702,Estados Unidos,Habitación con cama extragrande.,3,En grupo,loved the location,12695.0,1,2021-11-28,0.7
703,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,6,En pareja,"Excellent gym, staff was incredible, great location!",12695.0,1,2021-11-27,0.9666666666666667
704,Estados Unidos,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,2,En familia,"Super friendly and helpful staff, quick service and overall just an amazing time and nice place to stay!",12695.0,1,2021-11-27,0.3986111111111111
705,Polonia,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,2,En grupo,Location: exceptional. Room standard: very good. Staff friendliness: good.,12695.0,0,2021-11-26,0.5691666666666666
706,Puerto Rico,Habitación con cama extragrande.,3,En pareja,very modern and excellent location,12695.0,0,2021-11-24,0.63
707,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En grupo,"Great location, awesome view!",12695.0,1,2021-11-17,0.9
708,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2,En pareja,Excellent view and comfort. Friendly service from all staff. Great location and availability to public transportation and Lyft bikes.,12695.0,1,2021-11-15,0.54375
709,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,2,Persona que viaja sola,"I liked the location of the hotel, directly across from the ferry building. The hotel has its own bar and restaurant, which was convenient. I checked in late, so not many rooms were left, but I got one of the balcony rooms. It seemed clean enough, and the bed was comfortable.",12695.0,1,2021-11-10,0.1685185185185185
710,Estados Unidos,Habitación con 2 camas grandes,6,En familia,"big room very confortable bed friendly staff. 
i love the location very convenient! you can walk to many restaurants , cable car and subway in front of the hotel",12695.0,1,2021-11-08,0.30416666666666664
711,Estados Unidos,Habitación con cama extragrande.,1,En pareja,"The staff, facilities , and rooms are always top notch. Anytime we have an occasion to celebrate, or to just get away, this is out spot. we absolutely love this hotel.",12695.0,1,2021-11-06,0.5
713,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,i stayed here for a night to celebrate me and my now fiancé getting engaged! i asked for the hotel to help decorate the room and make it all nice and they literally took it to the next level! absolutely amazing! she loved it and i cant emphasize how memorable they made our experience,12695.0,1,2021-11-01,0.51
714,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2,En pareja,"Clean, bay view",12695.0,1,2021-10-26,0.3666666666666667
715,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,1,Persona que viaja sola,The hotel front staff is excellent...they were very helpful when i lost my cell phone.,12695.0,1,2021-10-16,0.2
716,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2,En pareja,Enjoyed the stay. I worked in SF when the Hyatt Regency was being built. Spectacular. A trip down memory lane.,12695.0,1,2021-10-16,0.3148148148148148
717,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2,En pareja,"I liked the balcony and the ocean view. The location was great except the dirty streets that was not pleasant to view at. 
But overall our stay was great.",12695.0,1,2021-10-15,0.20555555555555557
718,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,"Gorgeous view from Balcony King w/Sea View! The room was spacious, and we appreciated the refrigerator & coffee maker. Pleasantly surprised by the $15 credit at The Market - we were able to pick up a couple things for a light breakfast.",12695.0,1,2021-10-15,0.41500000000000004
721,Estados Unidos,Habitación con balcón y vistas a la ciudad - 2 camas grandes,1,En grupo,room was nice,12695.0,1,2021-09-26,0.6
722,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,1,En pareja,Room had a great view.,12695.0,1,2021-09-24,0.8
723,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,3,En pareja,"the room big, comfortable and quiet the balcony a huge bonus",12695.0,1,2021-09-23,0.2
724,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,the view was cool,12695.0,1,2021-09-11,0.35
725,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,3,En pareja,The view was gorgeous and the balcony was great. The staff was very accommodating and made us feel special.,12695.0,1,2021-09-09,0.5142857142857142
726,Estados Unidos,Habitación Doble con 2 camas dobles y vistas a la bahía,1,En grupo,"The interior design of the hotel looks luxurious. The window of my room is towards the sea. The front desk staff was very responsive. I asked them if they had microwaves, they sent one to my room!",12695.0,1,2021-09-07,0.25
728,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,The atrium was really cool good location,12695.0,1,2021-09-03,0.5249999999999999
729,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,4,Persona que viaja sola,"Staff was super friendly, made an effort to know my name - the door man and valet outside, even though I didn't need a rental car on this trip.Great property downtown in the financial district!",12695.0,1,2021-08-27,0.17708333333333331
730,Estados Unidos,Habitación con 2 camas grandes,5,En grupo,One time we returned to the room and the deadbolt had been set and the door was open to anyone who wanted access. We called security and reported no loss fortunately. Personnel should use caution when setting the deadbolt.,12695.0,1,2021-08-23,0.2
731,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,3,En grupo,I love everything about your hotel,12695.0,1,2021-08-20,0.5
732,Estados Unidos,Habitación con cama extragrande y vistas al mar,1,En familia,Beautiful,12695.0,1,2021-08-17,0.85
733,Estados Unidos,Habitación con cama extragrande.,2,En pareja,Near ferry building,12695.0,1,2021-08-16,0.1
734,Estados Unidos,Habitación con cama extragrande.,1,En pareja,"the design, the hotel, the resto bar, the front desk are very friendly",12695.0,1,2021-08-16,0.48750000000000004
735,Estados Unidos,Habitación con 2 camas grandes,1,En familia,"Everything, however the blackout blinds were so good we over sleep checking out 12:30 instead of the normal 12:00",12695.0,1,2021-08-15,0.425
736,Estados Unidos,Habitación con balcón y vistas a la ciudad - 2 camas grandes,1,En familia,"All of the staff are friendly, my two yr old loved the elevators and spinning front entrance, the bay view balcony was so inviting and bellhop&room service very very prompt! No complaints!",12695.0,1,2021-08-15,0.39531249999999996
737,Estados Unidos,Habitación con cama extragrande.,1,En pareja,Room was great . Very clean. No smell bed comfortable,12695.0,1,2021-08-11,0.5588888888888889
739,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,1,En familia,Clean,12695.0,1,2021-08-07,0.3666666666666667
740,Suiza,Habitación con cama extragrande.,1,En familia,"Perfect location, comfortable rooms, all around wonderful.",12695.0,0,2021-08-07,0.7999999999999999
741,Estados Unidos,Habitación con 2 camas grandes,2,En grupo,"great location, building",12695.0,1,2021-08-05,0.8
743,Estados Unidos,Suite con balcón,1,En familia,Clean and beautiful room. I loved our view of the waterfront. The balcony was huge.,12695.0,1,2021-08-01,0.5791666666666667
744,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,7,En pareja,Great location. Laid back with great staff,12695.0,1,2021-08-01,0.5333333333333333
745,Estados Unidos,Habitación con cama extragrande.,1,En familia,View of bay lovely,12695.0,1,2021-07-31,0.5
746,Estados Unidos,Habitación con cama extragrande.,4,En pareja,Everything was awesome,12695.0,1,2021-07-30,1.0
747,Estados Unidos,Habitación con cama extragrande.,1,En pareja,The location is perfect. Can walk anywhere. They park car for you.,12695.0,1,2021-07-28,1.0
748,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,2,En pareja,Staff was very helpful and assisted us with early check out. Balcony and view on water side was awesome. Room was large and well appointed.,12695.0,1,2021-07-28,0.37857142857142856
749,Canadá,Habitación con vistas a la bahía - 1 cama extragrande,2,En pareja,"Front desk Angela , and Jose provided great help for us",12695.0,0,2021-07-28,0.8
750,Estados Unidos,Habitación con cama extragrande.,2,En pareja,"Clean, great staff, and so many things to do within walking distance.",12695.0,1,2021-07-26,0.5555555555555556
751,Estados Unidos,Habitación con cama extragrande.,2,En familia,"Love this place . We got upgrade to another room with a beautiful view of the bay bridge . My kids loved it too . 
We will be back :)",12695.0,1,2021-07-26,0.51
752,Estados Unidos,Habitación con cama extragrande y bañera adaptada - Adaptada para personas de movilidad reducida,1,Persona que viaja sola,Rooms and common areas were clean and well maintained.,12695.0,1,2021-07-25,0.033333333333333354
753,Estados Unidos,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,4,En familia,We stayed at a good location embarcadero close to public transportation,12695.0,1,2021-07-24,0.35
754,Estados Unidos,Habitación con balcón y vistas a la ciudad - 2 camas grandes,2,En familia,The bed was fantastic. The balcony has a lovely view.,12695.0,1,2021-07-21,0.45
755,Estados Unidos,Habitación con 2 camas grandes,1,En grupo,Great location. Lovely decor and indoor areas. Would stay again,12695.0,1,2021-07-21,0.65
756,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,4,En pareja,"Staff honored every request. We were able to check in early and check out late. Loved the balcony view and the property was visually fun! Staff was accommodating, efficient and pleasant. Our room was clean and spacious.",12695.0,1,2021-07-21,0.3535714285714286
757,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,Close to the pier & wharf!! Great view from the balcony!!,12695.0,1,2021-07-15,1.0
758,Estados Unidos,Habitación con 2 camas grandes,1,En familia,Great Customer Services,12695.0,1,2021-07-13,0.8
759,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,2,En pareja,We just felt welcomed from the moment we arrived. All gentleman out front in valet were very friendly and helpful. They were able to give great directions and even called a taxi for us. The staff on the inside was extremely friendly. The waiter at the restaurant made great recommendation on what to try as well as drink. The cleaning staff on our floor(10) did an amazing job cleaning our room and check out was a breeze. This is a wonderful hotel with a great staff. We can’t wait to stay again.,12695.0,1,2021-07-12,0.6703125
760,Estados Unidos,Habitación con 2 camas grandes,1,En familia,The hotel was wonderful.,12695.0,1,2021-07-11,1.0
762,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,Persona que viaja sola,Awesome balcony on the 17th floor! Staff was so nice! I would highly recommend this place!,12695.0,1,2021-07-10,0.65
763,Estados Unidos,Habitación con cama extragrande.,2,En pareja,Ok breakfast great location,12695.0,1,2021-07-10,0.65
764,Estados Unidos,Habitación con cama extragrande.,3,En pareja,The lobby and customer service was very good.,12695.0,1,2021-07-09,0.9099999999999999
765,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2,En grupo,Staff were very good especially at entrance and bell stafy,12695.0,1,2021-07-06,0.45499999999999996
766,Estados Unidos,Habitación con 2 camas grandes,1,En pareja,"Love the location, check in was easy ( she was very nice), and the BEDS were extremely comfy!!!",12695.0,1,2021-07-06,0.36729817708333334
768,Estados Unidos,Habitación con cama extragrande.,1,En pareja,Location is great! Bed was very hard! Coffee machine broken & did not hear coffee! Overall room was vary nice!,12695.0,1,2021-07-03,0.15520833333333334
771,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,We had a balcony / view room which was excellent.,12695.0,1,2021-06-24,1.0
772,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,"This is my favorite hotel I’ve stayed in SF. It’s clean, modern, great location and ocean view w/balcony is amazing.",12695.0,1,2021-06-21,0.49333333333333335
773,Estados Unidos,Habitación Doble con 2 camas dobles y vistas a la bahía,3,En familia,The location was excellent. We wanted a better view asked to switch and they did right away. Staff was so so nice. Bell man Edwin was so nice and very helpful. Would definitely stay here again.,12695.0,1,2021-06-19,0.45510204081632655
774,Estados Unidos,Habitación con cama extragrande y bañera adaptada - Adaptada para personas de movilidad reducida,1,Persona que viaja sola,"From the moment I arrived the staff was friendly, courteous, and helpful. My room was easy to access, the hallways were clean, and the room was nice as well. They made it very easy for me to get to my room and relax at the end of a long business trip.",12695.0,1,2021-06-18,0.41261904761904766
775,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,Loved the bed and the ambient sound speaker for a goodnight sleep. The shower was neat and had suitable force.,12695.0,1,2021-06-13,0.55
777,Estados Unidos,Habitación Doble con 2 camas dobles y vistas a la bahía,2,En familia,The balcony view was the best part and I loved that they had the toilet and shower separate from the sink. It had an amazing big mirror.,12695.0,1,2021-06-04,0.4533333333333333
778,Estados Unidos,Habitación con cama extragrande.,1,En pareja,"great location, great room and very clean.",12695.0,1,2021-06-02,0.6922222222222222
779,Estados Unidos,Habitación con cama extragrande.,1,En pareja,The location is perfect for walking along the Embarcadero.,12695.0,1,2021-06-01,1.0
780,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2,En pareja,"The staff where friendly and the room was clean.
Due to the COVID the restaurant and room service were not available but they had a grab and go market which was good",12695.0,1,2021-06-01,0.22333333333333333
781,Estados Unidos,Habitación con 2 camas grandes,1,En familia,Breakfast was delicious and all services there,12695.0,1,2021-05-31,1.0
783,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,Everything amazing!,12695.0,1,2021-05-02,0.7500000000000001
784,Estados Unidos,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,1,En familia,"This Hotel is clean, the service is very nice the customer service is very good. I recommend This Hotel",12695.0,1,2021-05-01,0.6855555555555556
785,Estados Unidos,Habitación con cama extragrande.,1,En pareja,The accommodations were very nice and the service in providing a special night made it more satisfying./,12695.0,1,2021-04-28,0.5457142857142857
786,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,"Loved our view. I had contacted the hotel prior because my husband and I were coming to the city for our 20th anniversary and we wanted a late check out. We got that, and we were left a surprise in our room!",12695.0,1,2021-04-20,0.07999999999999999
787,Estados Unidos,Habitación con cama extragrande.,3,Persona que viaja sola,Nice looking,12695.0,1,2021-04-19,0.6
789,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,"Nice view, clean room, comfy bed, and friendly staff",12695.0,1,2021-04-15,0.44722222222222224
790,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,1,En pareja,"Staff was great, great location.",12695.0,1,2021-04-11,0.8
791,Estados Unidos,Habitación con cama extragrande.,1,En pareja,Quick check in,12695.0,1,2021-04-08,0.3333333333333333
792,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2,En pareja,"Everything was perfect! Especially the view from our room, WOW! I couldn’t have asked for better.",12695.0,1,2021-04-05,0.40625
793,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,1,En familia,"The room was nice, cleanliness was as expected.",12695.0,1,2021-04-01,0.25
794,Estados Unidos,Studio Suite with Bay View,2,En familia,"The view was amazing the staff was welcoming and the room was clean, nice, and spacious!! Would definitely book here again",12695.0,1,2021-04-01,0.4760416666666667
796,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,1,En pareja,Everything was perfect,12695.0,1,2021-03-15,1.0
797,Estados Unidos,Habitación con cama extragrande.,2,En pareja,I liked how close we were to the pier,12695.0,1,2021-03-11,0.6
798,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,2,En grupo,This is my favorite hotel in SF.. make sure you book a balcony,12695.0,1,2021-03-08,0.5
799,Estados Unidos,Habitación con cama extragrande.,1,En grupo,Everything was SUPER in this hotel. Nick on front desk really went above and beyond. He gave so much attention that made you feel you are the only one in the hotel . I will definitely go again. Worth every penny.,12695.0,1,2021-03-07,0.14761904761904762
800,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,I just wanted to thank you guys for the complimentary upgrade i really appreciate you guys,12695.0,1,2021-02-27,0.25
801,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En familia,"What is there not to like about the HYATT. It is always a wonderful hotel to stay at. My wife fell in love with the balcony with the bay view room. It is the only one we get. The staff are warm and welcoming from the valet drivers outside/entrance greeters are friendly,funny and professional. Every question i had they were mainly the ones to answer it for me. The front desk service had great customer service. They greeted me with a warm welcome to the establishment and because it was valentines day they had a beautiful red rose for my lady and champagne in the room. It made my wife feel special that day which they did all of it. Walking to my room I was even greeted by one of the service men. We had a little chat with laughter at the end, he saw me and my wife kind of struggling with our suitcases and even offered to help. I thought that was genuine for a worker that probably didn't even get paid to that job. So for the managers to the people in charge/owners of the facility. The front desk workers are awesome, but give a BIG notice and thank you to your workers that probably don't get the love and respect they should. And that is your frontline/entrance workers with amazing attitudes and knowledge for us/guest. The workers that are in the back stage that keep the place clean and in working order maid/handyman. They alone would be one reason I would come back to this hotel. Which I have numerous of times. So I hope you do something special for those workers that don't get the recognition that they deserve. Thank you all staff members for making my wife's valentines day one for the books. Facebook/Instagram friends and family wifes will be jealous on this one. Thank you for making me look like the dopest husband this year. Now tell your boss to throw you a LITTLE SOMETHING 😉 💰",12695.0,1,2021-02-15,0.3777930402930403
802,Estados Unidos,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,1,Persona que viaja sola,comfy clean room with a view.,12695.0,1,2021-01-18,0.3666666666666667
804,Países Bajos,Habitación con cama extragrande.,1,En familia,"They sell you a club breakfast, which is the worst I ever had",12695.0,0,2023-10-26,-1.0
805,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,1,En pareja,"there was no complimentary breakfast, and the $85/day for parking is outrageous. I specifically searched for complimentary breakfast and free parking.",12695.0,1,2023-10-01,-0.11249999999999996
806,Australia,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2,En familia,Beautiful location and easy to get to everything,12695.0,0,2023-09-25,0.6416666666666666
809,Estados Unidos,Habitación con cama extragrande.,1,En pareja,Looked high end inside,12695.0,1,2023-09-05,0.16
810,Estados Unidos,Habitación con balcón y vistas a la bahía - 1 cama extragrande - Planta alta,1,Persona que viaja sola,They had done their best to make an older property look attractive,12695.0,1,2023-09-04,0.6555555555555556
811,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2,En pareja,Good location,12695.0,1,2023-09-04,0.7
812,Estados Unidos,Habitación con cama extragrande.,1,En pareja,The location was ok,12695.0,1,2023-09-04,0.5
813,Canadá,Habitación con vistas a la bahía - 1 cama extragrande,5,En pareja,"Good location, good gym and was quite clean",12695.0,0,2023-08-17,0.5888888888888889
814,Reino Unido,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2,En familia,"The hotel building itself is really nice with a unique architecture and great views over the bay. Our room was large, modern and very comfortable. The gym at the hotel was also decent.",12695.0,0,2023-08-15,0.41085034013605437
815,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,2,En pareja,The building was interesting and enjoyable,12695.0,1,2023-08-15,0.5
820,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,3,En pareja,"Location. 
Some of the staff were so nice.. most are not.",12695.0,1,2023-08-04,0.55
821,Estados Unidos,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,4,Persona que viaja sola,pillows were bad. Breakfast was not included.,12695.0,1,2023-07-26,-0.6999999999999998
822,Estados Unidos,Habitación con balcón y vistas a la bahía - 1 cama extragrande - Planta alta,1,En familia,"Great location. It makes visiting downtown San Francisco walkable.
In-room safe was convenient to throw a laptop and some extlcwss cash in before leaving.",12695.0,1,2023-07-16,0.65
823,Israel,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,2,En pareja,"The hotel is highly equipped, great maintenance, quiet and clean",12695.0,0,2023-07-14,0.33166666666666667
824,Estados Unidos,Habitación con 2 camas grandes,2,En pareja,It was clean.,12695.0,1,2023-07-11,0.3666666666666667
826,Estados Unidos,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,2,En grupo,Rooms were clean and in a great location.,12695.0,1,2023-06-19,0.5833333333333334
827,Rumanía,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2,En pareja,the location and the view from the room were great,12695.0,0,2023-06-09,0.8
828,China,Habitación con cama extragrande.,2,En familia,location is just opposite the fairy building. building itself looks amazing inside.,12695.0,0,2023-05-26,0.30000000000000004
829,Estados Unidos,Habitación con cama extragrande y acceso al club,2,En pareja,"The best part was meeting the guy at the Concierge. I forgot his name but he was from South Africa.
He was VERY helpful and just AWESOME.
PLEASE give him a raise in pay.",12695.0,1,2023-05-25,0.7333333333333334
830,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En familia,Very comfortable beddings,12695.0,1,2023-05-08,0.52
832,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,1,En familia,love the esthetics and location.,12695.0,1,2023-04-11,0.5
835,Estados Unidos,Habitación con balcón y vistas a la bahía - 1 cama extragrande - Planta alta,1,En pareja,"Location, staff was great, clean, quiet",12695.0,1,2023-02-12,0.3888888888888889
836,Australia,Habitación Doble con acceso al club - 2 camas dobles,3,En familia,"nice stay but with the bill at check out, it’s terrible!!!!!’",12695.0,0,2022-12-19,-0.2
839,Reino Unido,Habitación con 2 camas grandes,9,En pareja,"Very clean with friendly staff and good sized rooms. I was able to get a room with a bath tub, though I was charged extra for this (the photos on Booking.com show bathtubs in the rooms, which is one reason I chose this hotel). The location was excellent, close to the Ferry Building and very easy to navigate to all tourist attractions. The beds were exceptionally comfy, which is rare!",12695.0,0,2022-12-02,0.5174074074074074
841,Estados Unidos,Habitación con cama extragrande.,2,En pareja,"Clean, quiet, easy.",12695.0,1,2022-11-27,0.26666666666666666
844,Estados Unidos,Habitación Doble con 2 camas dobles y vistas a la bahía,3,En pareja,"Staff was wonderful, beautiful building and location",12695.0,1,2022-09-13,0.925
846,Estados Unidos,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,3,En pareja,good food and wait staff great,12695.0,1,2022-08-08,0.75
847,República Checa,Habitación con balcón y vistas a la bahía - 1 cama extragrande - Planta alta,1,En familia,great place and a very nice hotel,12695.0,0,2022-08-01,0.79
848,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En familia,"My card was double charged for my stay. The hotel says they didn't but my bank says otherwise as well as my statement. So I have a $440 hold on my card which should be reversed in a few days but by then, other transactions will bounce. 
I paid extra for a better room with a Bay view. An extra fold up bed was left in the room by the balcony blocking the view i paid extra for yet my reservation was made for two people. Why would I need an extra bed in my room?",12695.0,1,2022-08-01,0.019444444444444445
851,Estados Unidos,Habitación con cama extragrande.,1,Persona que viaja sola,The room was very nice.,12695.0,1,2022-07-17,0.78
852,Reino Unido,Habitación con 2 camas grandes,4,En pareja,excellent location and nice balcony and view,12695.0,0,2022-07-07,0.8
853,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En familia,"I like that it's quiet clean , safe , staff were respect ful.The location was also good.",12695.0,1,2022-07-06,0.39166666666666666
855,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,4,En pareja,"We loved the room because it was newly renovated,And I like that they gave you 4.00 credit which was good for buying bottle water",12695.0,1,2022-07-03,0.5121212121212121
856,Alemania,Habitación con 2 camas grandes,9,En familia,Room clean and quiet.,12695.0,0,2022-06-18,0.18333333333333335
857,Estados Unidos,Habitación con balcón y vistas a la ciudad - 2 camas grandes,1,En grupo,"Great Room, great location, and good view.",12695.0,1,2022-06-14,0.7666666666666666
858,Estados Unidos,Habitación con 2 camas grandes,2,En familia,"It took us a very long time to find the enterence to the hotel. Our room was very far from the elevator practically the last room despite that hotel was almost empty. Only one restaurant, and in the morning there were no service at the coffee place",12695.0,1,2022-06-08,-0.007000000000000001
859,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2,En pareja,It was a decent sized room.,12695.0,1,2022-06-02,0.16666666666666666
861,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,"Customer service, location, and views were great.",12695.0,1,2022-04-22,0.8
862,Estados Unidos,Habitación con cama extragrande.,2,Persona que viaja sola,Got charge $450 for a cancellation that happened 3 days before my scheduled arrival. Just awful.,12695.0,1,2022-04-20,-1.0
863,Estados Unidos,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,1,Persona que viaja sola,"the location, the beautiful view of the bay bridge, the convenience of being near shopping plazas, restaurants, ferry building etc. I will BE BACK!!!!!!!!!!",12695.0,1,2022-04-19,0.31666666666666665
864,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,"very clean, great location!",12695.0,1,2022-04-19,0.7383333333333334
866,Reino Unido,Habitación con 2 camas grandes,3,En grupo,"Spacious, quiet rooms, good location near the port, exceptional lobby design",12695.0,0,2022-04-12,0.36666666666666664
867,Estados Unidos,Habitación con cama extragrande.,1,Persona que viaja sola,the rooms were a bit run down. the sink in my bathroom wouldn’t drain at all.,12695.0,1,2022-04-11,-0.15555555555555559
868,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,3,Persona que viaja sola,Location was good and room was nice.,12695.0,1,2022-04-04,0.6499999999999999
869,Estados Unidos,Habitación con 2 camas grandes,1,En grupo,MATTRESS WAS GREAT,12695.0,1,2022-03-25,0.8
871,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En familia,Location. The location was perfect. Near everything we wanted to do.,12695.0,1,2022-03-21,0.55
873,Estados Unidos,Habitación con cama extragrande.,4,En grupo,lobby was very beautiful.,12695.0,1,2022-03-03,1.0
875,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,2,En familia,I was really expecting the rooms to be cleaner.,12695.0,1,2022-02-28,0.2
877,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,location is amazing,12695.0,1,2022-02-22,0.6000000000000001
