city_id,city,county,state_id,population,density,latitude,longitude,zips,geometry
4213.0,Northfield,Atlantic,NJ,8419,907.4,39.3718,-74.5543,08225,POINT (-74.55451414823406 39.373316370113095)
4214.0,Crestwood Village,Ocean,NJ,8414,760.1,39.9568,-74.3524,08759,POINT (-74.35468777974738 39.95732007462915)
4215.0,Montvale,Bergen,NJ,8413,807.4,41.0529,-74.0499,07645,POINT (-74.04865295719375 41.052288728664664)
4216.0,Olivette,St. Louis,MO,8408,1171.7,38.6724,-90.3786,63132,POINT (-90.37734159740484 38.672351838564474)
4217.0,Corbin,Whitley,KY,8397,408.0,36.9323,-84.1006,40701 40702,POINT (-84.10736394027305 36.93747508499892)
4218.0,Half Moon,Onslow,NC,8397,436.9,34.8297,-77.4591,28546 28540,POINT (-77.4661769487853 34.82717506460819)
4219.0,Skiatook,Tulsa,OK,8396,236.4,36.3699,-95.9856,74070,POINT (-96.03983476680217 36.369519242852625)
4220.0,Conover,Catawba,NC,8393,290.1,35.7154,-81.2174,28613,POINT (-81.21735338280573 35.70966583490938)
4221.0,Black Mountain,Buncombe,NC,8386,482.5,35.6144,-82.3274,28711,POINT (-82.3301544388893 35.61437212292201)
4222.0,Harrison,Hamilton,TN,8383,480.0,35.1271,-85.1453,37416 37341,POINT (-85.1459710799813 35.127974295229585)
4223.0,Rawlins,Carbon,WY,8382,392.4,41.7849,-107.2265,82301,POINT (-107.22849768176144 41.78446568631485)
4224.0,Kenilworth,Union,NJ,8377,1506.7,40.6781,-74.289,07033,POINT (-74.28854104003865 40.679035149878096)
4225.0,Harrisburg,Saline,IL,8375,489.0,37.7374,-88.5457,62946,POINT (-88.54930276391119 37.736523999014544)
4226.0,Lihue,Kauai,HI,8371,433.4,21.9721,-159.3564,96766,POINT (-159.354424 21.975107)
4227.0,Orrville,Wayne,OH,8369,576.1,40.848,-81.7743,44667,POINT (-81.77102092602203 40.84687033723395)
4228.0,Meadow Lakes,Matanuska-Susitna,AK,8367,42.8,61.638,-149.608,99623 99654 99688,POINT (-149.60345701291638 61.62405818773094)
4229.0,Valley Center,Sedgwick,KS,8365,454.5,37.8332,-97.3646,67147,POINT (-97.37379229284696 37.83521204351275)
4230.0,Stuttgart,Arkansas,AR,8363,435.6,34.4952,-91.5487,72160,POINT (-91.55104298991245 34.49361904483807)
4231.0,Stevensville,Queen Anne's,MD,8359,501.9,38.9745,-76.3184,21666,POINT (-76.3086119360005 38.99403097617872)
4232.0,Flushing,Genesee,MI,8356,893.4,43.0637,-83.8403,48433,POINT (-83.84160087016309 43.064894704010754)
4233.0,Eaton,Preble,OH,8355,501.9,39.7506,-84.6342,45320,POINT (-84.63380738371194 39.74858758824596)
4234.0,Dalhart,Dallam,TX,8354,674.5,36.058,-102.5123,79022,POINT (-102.51506592366623 36.061851734049185)
4235.0,Park City,Summit,UT,8352,158.2,40.6502,-111.5013,84060 84068,POINT (-111.49372991810809 40.656383816047494)
4236.0,Upper Saddle River,Bergen,NJ,8352,613.9,41.0634,-74.0985,07458,POINT (-74.10007181268543 41.063496538352894)
